,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Hôtel Saint Louis,https://www.booking.com/hotel/fr/saint-louis-aigues-mortes.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ed94be5af2b0070&srepoch=1643971660&from=searchresults#hotelTmpl,"8,4","Situé dans le cœur historique d'Aigues-Mortes, à 200 mètres de la Tour de Constance, l'Hôtel Saint Louis est un hôtel climatisé doté d'un centre de bien-être et d'un restaurant. ","10, Rue Amiral Courbet, 30220 Aigues-Mortes, France",Aigues Mortes,43.567373,4.189546225950785
1,2,Maison des Croisades,https://www.booking.com/hotel/fr/des-croisades.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7ed94be5af2b0070&srepoch=1643971660&from=searchresults#hotelTmpl,"8,9","Située à Aigues-Mortes, la Maison des Croisades propose un service de location de vélos et un jardin. Il dispose d'une connexion Wi-Fi gratuite et d'une terrasse. ","2 RUE DU PORT, 30220 Aigues-Mortes, France",Aigues Mortes,43.5663727,4.1857148
2,3,Hotel Canal Aigues Mortes,https://www.booking.com/hotel/fr/canal-aigues-mortes.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7ed94be5af2b0070&srepoch=1643971660&from=searchresults#hotelTmpl,"8,6","L’hôtel Canal Aigues Mortes vous accueille sur les rives du canal, à 5 minutes à pied de la ville fortifiée. Vous pourrez profiter d’une vue sur le canal depuis sa terrasse panoramique et sa piscine. ","440 Route De Nimes, 30220 Aigues-Mortes, France",Aigues Mortes,43.5735202,4.1951812
3,4,La Villa Mazarin,https://www.booking.com/hotel/fr/la-villa-mazarin.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7ed94be5af2b0070&srepoch=1643971660&from=searchresults#hotelTmpl,"9,1",La Villa Mazarin est construite dans un bâtiment datant du XVème siècle situé dans la ville fortifiée d'Aigues-Mortes et propose une terrasse ainsi qu'un bar. ,"35 boulevard Gambetta, 30220 Aigues-Mortes, France",Aigues Mortes,43.5650121,4.1918608
4,5,Résidence Odalys Le Mas des Flamants,https://www.booking.com/hotel/fr/residence-le-mas-des-flamants.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7ed94be5af2b0070&srepoch=1643971660&from=searchresults#hotelTmpl,"8,0","Située à l'extérieur des fortifications d'Aigues-Mortes, sur les rives du Vidourle, la Résidence Odalys Le Mas des Flamants possède une piscine et des pataugeoires. ","60 Chemin de Trouche, 30220 Aigues-Mortes, France",Aigues Mortes,43.57241785,4.185368762908497
5,6,Boutique Hôtel des Remparts & Spa,https://www.booking.com/hotel/fr/les-remparts-aigues-mortes.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7ed94be5af2b0070&srepoch=1643971660&from=searchresults#hotelTmpl,"9,6","Aménagé dans une ancienne base militaire datant du XVIIIe siècle, au sein des remparts médiévaux d'Aigues-Mortes, le Boutique Hôtel des Remparts & Spa est un établissement raffiné, doté d'un bar et...","6, Place Anatole France, 30220 Aigues-Mortes, France",Aigues Mortes,43.5679524,4.1908627
6,7,Hôtel Le Médiéval,https://www.booking.com/hotel/fr/le-medieval.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7ed94be5af2b0070&srepoch=1643971660&from=searchresults#hotelTmpl,"7,3","L'Hôtel Le Médiéval est situé sur les rives du canal d'Aigues-Mortes, à 30 km de Montpellier. ","221 Avenue Du Pont De Provence, 30220 Aigues-Mortes, France",Aigues Mortes,43.5719123,4.1939129
7,8,Mas de la Montille,https://www.booking.com/hotel/fr/mas-de-la-montille.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7ed94be5af2b0070&srepoch=1643971660&from=searchresults#hotelTmpl,"9,1","Le Mas de la Montille est situé à Aigues-Mortes, à 10 km de la plage de l'Espiguette. Il possède une piscine ouverte en saison et un jardin avec verger. ","Route des Saintes Marie de la Mer , 30220 Aigues-Mortes, France",Aigues Mortes,43.5658225,4.1912837
8,9,Séjour atypique et insolite sur notre péniche La Coradine avec jacuzzi,https://www.booking.com/hotel/fr/peniche-aigues-mortes1.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7ed94be5af2b0070&srepoch=1643971660&from=searchresults#hotelTmpl,"9,8","Séjour atypique et insolite sur notre péniche La Coradine avec Jacuzzi Situé à Aigues-Mortes, il dispose d'un bar, d'un barbecue et d'une terrasse. Cet hébergement climatisé se trouve à 31 km de...","la Coradine Chemin de la Pinède, 30220 Aigues-Mortes, France",Aigues Mortes,43.5658225,4.1912837
9,10,le dit vin secret,https://www.booking.com/hotel/fr/le-dit-vin-secret.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7ed94be5af2b0070&srepoch=1643971660&from=searchresults#hotelTmpl,"9,0","Situé à Aigues-Mortes, à 44 km de Nîmes, le dit vin secret propose un restaurant et une connexion Wi-Fi gratuite. Tous les logements disposent de la climatisation et d'une télévision à écran plat. ","13 rue sadi carnot 13 rue sadi carnot, 30220 Aigues-Mortes, France",Aigues Mortes,43.5658225,4.1912837
