,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Luxury Design Hotel Particulier le 28,https://www.booking.com/hotel/fr/particulier-28-a-aix-aix-en-provence1.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e9824e73f3900364&srepoch=1643972968&from=searchresults#hotelTmpl,"9,0","Proposant un jardin privé avec 2 terrasses et un restaurant, L'Hotel Particulier Le 28 est situé à Aix-en-Provence. Il dispose d'un parking privé sur place et d'une connexion Wi-Fi gratuite. ","28 Rue du Quatre Septembre, 13100 Aix-en-Provence, France",Aix en Provence,43.6543981,5.2631946
1,2,Les Lodges Sainte-Victoire Hotel & Spa,https://www.booking.com/hotel/fr/les-lodges-sainte-victoire.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e9824e73f3900364&srepoch=1643972968&from=searchresults#hotelTmpl,"9,1","Installé dans un parc de 5 hectares comprenant des vignobles et des oliviers, l'hôtel décoré avec élégance Les Lodges Sainte-Victoire Hotel & Spa est aménagé dans un bâtiment datant du XVIIIe siècle. ","2250 ROUTE CEZANNE, 13100 Aix-en-Provence, France",Aix en Provence,43.520855,5.480497
2,3,Séjours & Affaires Aix-en-Provence Mirabeau,https://www.booking.com/hotel/fr/residence-mirabeau.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e9824e73f3900364&srepoch=1643972968&from=searchresults#hotelTmpl,"8,2","Cette résidence Séjours & Affaires est située à Aix-en-Provence, à proximité du cours Mirabeau. Elle propose des studios meublés et une connexion Wi-Fi gratuite. ","615 Avenue Wolfgang Amadeus Mozart, 13100 Aix-en-Provence, France",Aix en Provence,43.5252563,5.4412976
3,4,Campanile Aix-en-Provence Sud - Pont de l'Arc,https://www.booking.com/hotel/fr/campanile-aix-en-provence-sud.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e9824e73f3900364&srepoch=1643972968&from=searchresults#hotelTmpl,"7,4","Installé à Aix-en-Provence, à 3 km du centre historique et du cours Mirabeau, le Campanile Aix-en-Provence Sud - Pont de l’Arc vous propose des hébergements climatisés avec une connexion Wi-Fi...","1 Rue Jean Andreani, 13090 Aix-en-Provence, France",Aix en Provence,43.5127497,5.4372923
4,5,Renaissance Aix-en-Provence Hotel,https://www.booking.com/hotel/fr/renaissance-aix-en-provence.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e9824e73f3900364&srepoch=1643972968&from=searchresults#hotelTmpl,"8,2","Situé à moins de 10 minutes à pied du centre d'Aix-en-Provence, le Renaissance Aix-en-Provence Hotel propose une réception ouverte 24h/24, des journaux et une connexion Wi-Fi gratuite. ","256 Avenue Pérouse, 13100 Aix-en-Provence, France",Aix en Provence,43.5248538,5.4359801
5,6,Le Pigonnet - Esprit de France,https://www.booking.com/hotel/fr/le-pigonnet.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e9824e73f3900364&srepoch=1643972968&from=searchresults#hotelTmpl,"8,6","Le Pigonnet - Esprit de France est une élégante maison de style provençal, qui allie le raffinement du XVIIIe siècle à un style contemporain. ","5, avenue du Pigonnet, 13090 Aix-en-Provence, France",Aix en Provence,43.5161466,5.4360216
6,7,Aparthotel Adagio Aix-en-Provence Centre,https://www.booking.com/hotel/fr/pierre-vacances-city-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e9824e73f3900364&srepoch=1643972968&from=searchresults#hotelTmpl,"8,6","L'Aparthotel Adagio Aix-en-Provence Centre se situe dans une rue paisible du centre de la commune d'Aix-en-Provence, à 10 minutes à pied des cafés et des fontaines du cours Mirabeau. ","3/5, rue des Chartreux, 13100 Aix-en-Provence, France",Aix en Provence,43.5288913,5.4408125
7,8,Grand Hôtel Roi René Aix en Provence Centre - MGallery,https://www.booking.com/hotel/fr/grand-mercure-roi-rene.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e9824e73f3900364&srepoch=1643972968&from=searchresults#hotelTmpl,"7,9","Situé à seulement 5 minutes à pied du cours Mirabeau et du centre-ville d’Aix-en-Provence, le Grand Hôtel Roi René Aix en Provence Centre - MGallery est un établissement 4 étoiles proposant une...","24 Boulevard du Roi René, 13100 Aix-en-Provence, France",Aix en Provence,43.5235527,5.4495744
8,9,Hôtel Cézanne Boutique-Hôtel,https://www.booking.com/hotel/fr/cezanne-aix-en-provence.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e9824e73f3900364&srepoch=1643972968&from=searchresults#hotelTmpl,"8,2",L’Hôtel Cézanne Boutique-Hôtel est un boutique hôtel situé dans le centre d’Aix-en-Provence et doté de 55 chambres. L’établissement possède également une terrasse et un salon. ,"40 Avenue Victor Hugo, 13100 Aix-en-Provence, France",Aix en Provence,43.523548500000004,5.445808766192416
9,10,Aquabella Hôtel & Spa,https://www.booking.com/hotel/fr/hotel-aquabella.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e9824e73f3900364&srepoch=1643972968&from=searchresults#hotelTmpl,"8,4","Entouré d'un magnifique jardin, l'Aquabella propose des chambres de style provençal ainsi qu'un accès gratuit au spa. Il est situé dans le centre d'Aix-en-Provence, à quelques pas de la vieille ville....","2, Rue des Etuves, 13100 Aix-en-Provence, France",Aix en Provence,43.5311971,5.4451272
