,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,"Holiday Inn Express Amiens, an IHG Hotel",https://www.booking.com/hotel/fr/express-by-holiday-inn.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1a21522f33d40008&srepoch=1643974879&from=searchresults#hotelTmpl,"8,2","Rénové en avril 2015, le Holiday Inn Express Amiens comprend des chambres confortables avec une connexion Wi-Fi gratuite. ","10 Boulevard Alsace Lorraine, 80000 Amiens, France",Amiens,43.4945556,-1.4685473
1,2,Le Majestic Cathédrale,https://www.booking.com/hotel/fr/le-duplex-amiens-pleine-vue-cathedrale.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=1a21522f33d40008&srepoch=1643974879&from=searchresults#hotelTmpl,"9,1","Situé à Amiens, à 1,7 km du Zénith, l'établissement Le Majestic Cathédrale propose un salon commun, une connexion Wi-Fi gratuite, une cuisine commune et un service d'étage. ","2 Rue du Marché des Lanselles, 80000 Amiens, France",Amiens,49.8906921,2.3036387
2,3,Comfort Hotel Amiens Nord,https://www.booking.com/hotel/fr/kyriad-amiens-nord-xml.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=1a21522f33d40008&srepoch=1643974879&from=searchresults#hotelTmpl,"6,9","Doté d’une terrasse, le Comfort Hotel Amiens Nord propose des hébergements à seulement 4 km du centre-ville d’Amiens. Des salles de réunion sont à votre disposition sur place. ","Zac St Ladre - Rue le Greco, 80085 Amiens, France",Amiens,49.8985865,2.5817169
3,4,Hotel Le Prieuré et La Résidence,https://www.booking.com/hotel/fr/le-prieure-amiens.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=1a21522f33d40008&srepoch=1643974879&from=searchresults#hotelTmpl,"8,4","L'Hotel Le Prieuré et La Résidence est situé dans le centre-ville d'Amiens, au pied de la cathédrale. ","17 Rue Porion, 80000 Amiens, France",Amiens,49.8943105,2.3008878
4,5,Odalys City Amiens Blamont,https://www.booking.com/hotel/fr/appart-39-odalys-blamont.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=1a21522f33d40008&srepoch=1643974879&from=searchresults#hotelTmpl,"8,3","Situé à 2,8 km du Zénith d'Amiens et à 900 mètres du musée Berny à Amiens, l'Odalys City Amiens Blamont propose des hébergements avec une connexion Wi-Fi gratuite. ","25 rue du Blamont, 80000 Amiens, France",Amiens,49.8877663,2.311049
5,6,"Une Maison en ville, Chambre d'hôtes, Hyper centre d'Amiens",https://www.booking.com/hotel/fr/une-maison-en-ville-amiens.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=1a21522f33d40008&srepoch=1643974879&from=searchresults#hotelTmpl,"9,2","Doté d’un jardin, d’un salon commun et d’une connexion Wi-Fi gratuite, l’établissement Une Maison En Ville Chambre d’hotes propose des hébergements à Amiens, à 1,7 km des Hortillonnages et à 2,5 km du...","2 Rue Duthoit, 80000 Amiens, France",Amiens,49.8897254,2.2984103
6,7,Le Vivier,https://www.booking.com/hotel/fr/le-vivier-amiens.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1a21522f33d40008&srepoch=1643974879&from=searchresults#hotelTmpl,"8,4","Situé à Amiens, à moins de 1,9 km du Zénith, l'établissement Le Vivier propose un service d'enregistrement et de départ rapides, des chambres pour les personnes souffrant d'allergies, un restaurant,...","593 rue de rouen, 80000 Amiens, France",Amiens,49.8614149,2.2142875
7,8,Comme une parenthèse au coeur des hortillonnages,https://www.booking.com/hotel/fr/comme-une-parenthese-au-coeur-des-hortillonnages.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=1a21522f33d40008&srepoch=1643974879&from=searchresults#hotelTmpl,"9,0","Situé à Amiens, à moins de 5 km du Zénith d'Amiens et à 2 km du parc des jardins flottants, l'établissement Comme une parenthèse au coeur des hortillonnages propose des hébergements avec un jardin. ","19 Rue Voyelle, 80000 Amiens, France",Amiens,49.8885309,2.3312365
8,9,Gite Amiens,https://www.booking.com/hotel/fr/gite-amiens.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1a21522f33d40008&srepoch=1643974879&from=searchresults#hotelTmpl,"8,7","Situé à Amiens, à seulement 5 minutes à pied du parc Saint-Pierre, le Gite Amiens dispose d'une terrasse avec mobilier de jardin. La gare d'Amiens est idéalement située à 1,4 km. ","6 Rue Charles Labbé, 80000 Amiens, France",Amiens,49.9023396,2.3142636
9,10,Au Coeur d'Amiens,https://www.booking.com/hotel/fr/maison-au-coeur-de-la-ville-amiens1.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=1a21522f33d40008&srepoch=1643974879&from=searchresults#hotelTmpl,"9,5","Situé à Amiens, à seulement 3,1 km du Zénith, l'établissement Au Coeur d'Amiens propose un service de prêt de vélos, un jardin et une réception ouverte 24h/24. ","15 Boulevard du Cange, 80000 Amiens, France",Amiens,49.8964026,2.3059573
