,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Rivage Hôtel & Spa Annecy,https://www.booking.com/hotel/fr/rivage-amp-spa-annecy.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f0f05322939b004e&srepoch=1643975366&from=searchresults#hotelTmpl,"8,9","Établissement 4 étoiles, le Rivage Hôtel & Spa Annecy vous accueille à Annecy, à 2,1 km du palais de l’Isle et à 2,2 km du château d’Annecy. ","33 Avenue du Petit Port, 74000 Annecy, France",Annecy,45.9052066,6.1427374
1,2,Impérial Palace,https://www.booking.com/hotel/fr/imperial-palace.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f0f05322939b004e&srepoch=1643975366&from=searchresults#hotelTmpl,"8,6","Situé au cœur des Alpes françaises, l'Impérial Palace est un hôtel 4 étoiles au bord du lac d'Annecy, à environ 1,5 km du centre d'Annecy. Il propose des hébergements climatisés, un spa et un casino. ","Allée de l'Impérial, 74000 Annecy, France",Annecy,45.9048758,6.1437755
2,3,Le Pélican,https://www.booking.com/hotel/fr/le-pelican-annecy1.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f0f05322939b004e&srepoch=1643975366&from=searchresults#hotelTmpl,"8,6","Situé à Annecy, à 400 mètres du palais de l'Île, l'établissement Le Pélican propose un bar, un parking privé et une terrasse. ","20 Rue des Marquisats, 74000 Annecy, France",Annecy,45.8876175,6.1433892
3,4,Ace Hotel Annecy,https://www.booking.com/hotel/fr/ace-annecy.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f0f05322939b004e&srepoch=1643975366&from=searchresults#hotelTmpl,"8,2","Doté d'une réception ouverte 24h/24, l'Ace Hotel Annecy est situé à Seynod, à moins de 5 km du lac d'Annecy et du centre-ville d'Annecy. ","8 Boulevard du Semnoz  - Zone d'activités  de Periaz Seynod, 74600 Annecy, France",Annecy,45.878456104464306,6.083344227591897
4,5,L'appartement d'Anna,https://www.booking.com/hotel/fr/l-39-appartement-d-39-anna.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f0f05322939b004e&srepoch=1643975366&from=searchresults#hotelTmpl,"9,3","Offrant une vue sur le jardin, L'appartement d'Anna propose un hébergement avec une terrasse, à quelques pas du château d'Annecy. Vous séjournerez à 150 mètres du palais de l'Isle. ","10 Rampe du Château, 74000 Annecy, France",Annecy,45.8979438,6.1254622
5,6,Best Western Hotel International,https://www.booking.com/hotel/fr/best-western-international.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f0f05322939b004e&srepoch=1643975366&from=searchresults#hotelTmpl,"8,1","Doté d'une salle de sport avec un hammam et un jacuzzi, le Best Western Hotel International est situé à l'entrée d'Annecy, à 2 km du lac d'Annecy et du centre-ville. ","19, Avenue du Rhône, 74000 Annecy, France",Annecy,45.8999901,6.1159169
6,7,Hôtel des Alpes,https://www.booking.com/hotel/fr/hotel-des-alpes.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f0f05322939b004e&srepoch=1643975366&from=searchresults#hotelTmpl,"8,5","L'Hôtel des Alpes propose un hébergement 2 étoiles à 10 minutes à pied du lac d'Annecy et à 100 mètres de la gare. La vieille ville, les boutiques et les restaurants sont accessibles à pied. ","12 Rue De La Poste, 74000 Annecy, France",Annecy,45.9012563,6.1228527
7,8,le panorama du lac,https://www.booking.com/hotel/fr/le-panorama-du-lac.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f0f05322939b004e&srepoch=1643975366&from=searchresults#hotelTmpl,"7,9","Offrant une vue sur la montagne, le panorama du lac propose un hébergement avec une terrasse et une bouilloire, à environ 500 mètres du palais de l'Isle. ","appartement 407 Avenue du Tresum 15, 74000 Annecy, France",Annecy,45.90816408389105,6.1294949444000295
8,9,Best Western Plus Hotel Carlton Annecy,https://www.booking.com/hotel/fr/bestwesterncarlton.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f0f05322939b004e&srepoch=1643975366&from=searchresults#hotelTmpl,"8,3","Le Best Western Carlton Annecy est installé dans le centre d'Annecy, aux portes de la ville médiévale. Le lac d'Annecy se trouve à 10 minutes à pied. ","5 Rue des Glières, 74000 Annecy, France",Annecy,45.9011205,6.1220264
9,10,Best Hotel Annecy,https://www.booking.com/hotel/fr/best-ha-tel-annecy.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f0f05322939b004e&srepoch=1643975366&from=searchresults#hotelTmpl,"7,9","Le Best Hôtel Annecy - Cran Gevrier est installé à seulement 3,5 km du lac d’Annecy et à 4 minutes de route du centre-ville d’Annecy. Il propose des chambres dotées d’une connexion Wi-Fi gratuite. ","138 rue des paquerettes Cran Gevrier, 74960 Annecy, France",Annecy,45.9006579,6.0997365
