,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,dtente sky lodge,https://www.booking.com/hotel/fr/dtente-sky-lodge.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=20ce50af58850217&srepoch=1643974113&from=searchresults#hotelTmpl,"9,4","Doté d'un sauna, le dtente sky lodge est situé à Massat. Offrant une vue sur la montagne, il se trouve à 41 km d'Espot. Un petit-déjeuner continental est servi tous les matins sur place. ","La Prado, 09320 Massat, France",Ariege,42.8888745,1.3480455
1,2,Domaine de Garabaud,https://www.booking.com/hotel/fr/domaine-de-garabaud.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=20ce50af58850217&srepoch=1643974113&from=searchresults#hotelTmpl,"8,2","Situé à Mazères, à 40 minutes de route de Toulouse, le Domaine de Garabaud est installé dans un magnifique cadre verdoyant, idéal pour accueillir tous vos événements. ","913 Garabaud, 09270 Mazères, France",Ariege,43.2572122,1.6664638
2,3,Logis Auberge de l'Isard,https://www.booking.com/hotel/fr/logis-auberge-de-l-isard.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=20ce50af58850217&srepoch=1643974113&from=searchresults#hotelTmpl,"7,9","Le Logis Auberge De L'isard est situé dans l'Ariège, au cœur du village de St Lary. Son restaurant sert une cuisine traditionnelle préparée avec des produits locaux. ","D618, 09800 Saint-Lary, France",Ariege,42.8134364,0.3218775
3,4,Hôtel Terranostra,https://www.booking.com/hotel/fr/terranostra.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=20ce50af58850217&srepoch=1643974113&from=searchresults#hotelTmpl,"8,5","Doté d'un restaurant et d'un bar, l'Hotel Terranostra vous accueille à Tarascon-sur-Ariège, au cœur des sites historiques de l'Ariège. Une connexion Wi-Fi est disponible gratuitement. ","7, Place Jean Jaurès, 09400 Tarascon-sur-Ariège, France",Ariege,42.847458700000004,1.6061758387348593
4,5,Chambres d'hôtes Belle Occitane,https://www.booking.com/hotel/fr/belle-occitane.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=20ce50af58850217&srepoch=1643974113&from=searchresults#hotelTmpl,"9,2",L'établissement Chambres d'hôtes Belle Occitane est une demeure de caractère du XVIIIe siècle située dans la ville médiévale de Tarascon-sur-Ariège. ,"11 avenue François Laguerre, 09400 Tarascon-sur-Ariège, France",Ariege,42.8470537,1.60671
5,6,"The Originals Access, Hôtel Foix (P'tit Dej-Hotel)",https://www.booking.com/hotel/fr/campanilefoix.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=20ce50af58850217&srepoch=1643974113&from=searchresults#hotelTmpl,"7,9","L'hôtel The Originals Access, Hôtel Foix est situé à côté du parc naturel régional des Pyrénées ariégeoises, à 75 km de Toulouse. Il possède une réception ouverte 24h/24. ","Ancienne Rn 20 Lieu dit Le Couloumié - Départementale 919, 09000 Foix, France",Ariege,42.97009721567393,1.6048496957410383
6,7,Camping Le Bourdieu,https://www.booking.com/hotel/fr/camping-le-bourdieu.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=20ce50af58850217&srepoch=1643974113&from=searchresults#hotelTmpl,"8,5","Situé dans la région Midi-Pyrénées, ce camping inclut une piscine extérieure, un mini-golf et une table de ping-pong. ","Lieu dit le Bourdieu, 09130 Durfort, France",Ariege,43.2062764,1.4572131
7,8,Chambres d'Hôtes La Maison Blanche,https://www.booking.com/hotel/fr/la-maison-blanche-lorp-sentaraille.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=20ce50af58850217&srepoch=1643974113&from=searchresults#hotelTmpl,"9,4","Située dans la région Midi-Pyrénées, à seulement 1 km du village gallo-romain de Saint-Lizier, La Maison Blanche est une maison d'hôtes qui possède des écuries et des chevaux sur place. ","Chemin de la Mole, 09190 Lorp Sentaraille, France",Ariege,43.0135578,1.1221667
8,9,Skymist Maison d'hôtes,https://www.booking.com/hotel/fr/skymist.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=20ce50af58850217&srepoch=1643974113&from=searchresults#hotelTmpl,"8,8","Situé à Biert, en Occitanie, à 47 km d'Andorre-la-Vieille, le Skymist Bed & Breakfast offre une vue sur la montagne. ","Lieu dit Nabios, 09360 Biert, France",Ariege,42.8984488,1.3149569
9,10,LES EYCHECADOUS,https://www.booking.com/hotel/fr/les-eychecadous.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=20ce50af58850217&srepoch=1643974113&from=searchresults#hotelTmpl,"8,4","Situé à Artigat, l'établissement LES EYCHECADOUS propose un restaurant, une piscine extérieure ouverte en saison, un bar, un salon commun et un court de tennis. ","camping les Eychecadous 2 route du camping, 09130 Artigat, France",Ariege,43.1354732,1.4402561
