,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Hôtel Le Bristol,https://www.booking.com/hotel/fr/hotel-bristol-avignon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d2b94e94cffe019e&srepoch=1643973033&from=searchresults#hotelTmpl,"8,1","Idéalement situé à l’intérieur des remparts du centre d’Avignon, l’Hôtel Le Bristol vous propose des chambres climatisées, un bar, une connexion Wi-Fi gratuite et un salon commun. ","44 Cours Jean Jaurès, 84000 Avignon, France",Avignon,43.9439025,4.8052484
1,2,Avignon Grand Hotel,https://www.booking.com/hotel/fr/avignongrandhotel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d2b94e94cffe019e&srepoch=1643973033&from=searchresults#hotelTmpl,"8,3","Doté d'une petite piscine sur le toit, l'Avignon Grand Hotel bénéficie d'un emplacement idéal à proximité directe des remparts médiévaux d'Avignon, à seulement 70 mètres de la gare centrale et à 15...","34, bd Saint-Roch, 84000 Avignon, France",Avignon,43.9424415,4.803522696305933
2,3,Hôtel de l'Horloge,https://www.booking.com/hotel/fr/de-l-horloge.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d2b94e94cffe019e&srepoch=1643973033&from=searchresults#hotelTmpl,"8,3","L'Hôtel de l'Horloge occupe un bâtiment du XIXème siècle donnant sur la pittoresque place de l'horloge, dans le centre d'Avignon. Il propose des hébergements élégants avec une connexion Wi-Fi...","1 Rue Félicien David - Place de l'Horloge, 84000 Avignon, France",Avignon,43.94237871989416,4.815292306001976
3,4,Hôtel Cloitre Saint Louis Avignon,https://www.booking.com/hotel/fr/clarioncloitrestlouis.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d2b94e94cffe019e&srepoch=1643973033&from=searchresults#hotelTmpl,"7,8","Situé dans le centre d'Avignon, à 15 minutes à pied du palais des papes et du pont de la ville, l'Hôtel Cloitre Saint Louis Avignon occupe un bâtiment du XVIème siècle doté d'une piscine extérieure...","20, rue du Portail Boquier, 84000 Avignon, France",Avignon,43.943804,4.8049793
4,5,Hôtel Danieli,https://www.booking.com/hotel/fr/hoteldanieli.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d2b94e94cffe019e&srepoch=1643973033&from=searchresults#hotelTmpl,"7,5","L'Hôtel Danieli est situé au cœur de la vieille ville d'Avignon, à 400 mètres du Palais des Papes et à 10 minutes à pied du pont d'Avignon. ","17 Rue de la République, 84000 Avignon, France",Avignon,43.9475998,4.805977586328277
5,6,Régina Boutique Hotel,https://www.booking.com/hotel/fr/hotelreginaavignon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d2b94e94cffe019e&srepoch=1643973033&from=searchresults#hotelTmpl,"8,8","Le Régina Boutique Hotel est situé dans la rue principale d'Avignon, à seulement 5 minutes à pied du Palais des Papes. ","6, Rue de la République, 84000 Avignon, France",Avignon,43.94818945,4.805693713967193
6,7,ibis Avignon Centre Gare,https://www.booking.com/hotel/fr/ibis-avignon-centre-gare.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d2b94e94cffe019e&srepoch=1643973033&from=searchresults#hotelTmpl,"7,8","L'ibis Avignon Centre Gare est situé au cœur d'Avignon, à seulement 50 mètres de la gare. ","42 boulevard Saint Roch, 84000 Avignon, France",Avignon,43.9423683,4.8086291
7,8,Aparthotel Adagio Access Avignon,https://www.booking.com/hotel/fr/citea-avignon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d2b94e94cffe019e&srepoch=1643973033&from=searchresults#hotelTmpl,"7,8","L’Aparthotel Adagio Access Avignon se situe près de la gare TGV d’Avignon, à seulement 10 minutes en voiture du centre-ville. ","6 Avenue de la Gare, 84000 Avignon, France",Avignon,43.928289,4.7852969
8,9,Best Western Hôtel Le Paradou Avignon Sud.,https://www.booking.com/hotel/fr/paradouavignon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d2b94e94cffe019e&srepoch=1643973033&from=searchresults#hotelTmpl,"7,9","Situé dans un parc à Avignon Sud-Montfavet, le Best Western Hôtel Le Paradou Avignon Sud. propose une connexion Wi-Fi gratuite disponible dans l'ensemble de l'établissement. ","85 Avenue Clément Ader - Zone de l'aéroport, 84140 Avignon, France",Avignon,43.92867238727275,4.871939991226641
9,10,Hôtel du Palais des Papes,https://www.booking.com/hotel/fr/du-palais-des-papes-avignon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d2b94e94cffe019e&srepoch=1643973033&from=searchresults#hotelTmpl,"7,9","L'hôtel du Palais des Papes est situé à Avignon, en face du Palais des Papes. Il occupe un bâtiment de 3 étages dans une zone entièrement piétonne. ","3, Place Du Palais, 84000 Avignon, France",Avignon,43.9504537,4.806264
