,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,L'AURE BLEUE,https://www.booking.com/hotel/fr/l-39-aure-bleue.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"9,2","Situé à Bayeux, à 300 mètres du musée Baron Gérard et à 400 mètres de celui de la tapisserie, l'appartement L'AURE BLEUE se trouve dans un ancien manoir. ","25 Rue des Teinturiers, 14400 Bayeux, France",Bayeux,49.2768426,-0.7002007
1,2,Château de Bellefontaine,https://www.booking.com/hotel/fr/chateau-de-bellefontaine.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"8,2","À 800 mètres du centre de Bayeux et de sa cathédrale, l'établissement Château de Bellefontaine est un manoir du XVIIIe siècle proposant des chambres et un restaurant traditionnel ouvert pour le dîner...","49, Rue de Bellefontaine, 14400 Bayeux, France",Bayeux,49.2716689,-0.6904408
2,3,FREEDOM APPART - CENTRE HISTORIQUE - LUMINEUX - Bayeux,https://www.booking.com/hotel/fr/centre-historique-lumineux-parking-gratuit.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"9,1","Doté d'une connexion Wi-Fi gratuite et offrant une vue sur la ville, le FREEDOM APPART - CENTRE HISTORIQUE - LUMINEUX - Bayeux est un hébergement situé à Bayeux, à seulement quelques pas de la...","1 Rue du Général de Dais, 14400 Bayeux, France",Bayeux,49.27942189952384,-0.6948008286505051
3,4,La Colline,https://www.booking.com/hotel/fr/la-colline-bayeux.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"9,6","La Colline est située dans le centre-ville de Bayeux et dispose d'une connexion Wi-Fi et d'un parking gratuits, ainsi que d'un jardin avec une terrasse. ","14  Rue Saint Exupère, 14400 Bayeux, France",Bayeux,49.2740037,-0.6979998
4,5,ibis budget Bayeux,https://www.booking.com/hotel/fr/etap-bayeux.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"8,2","L’ibis budget Bayeux vous accueille entre Caen et Cherbourg, à proximité de la sortie 36 de la route N13 et à seulement 13 km des plages du débarquement. ","Zone d'Activité de Nonant, rue des Longues Haies, 14400 Bayeux, France",Bayeux,49.27942189952384,-0.6948008286505051
5,6,Château Saint Gilles,https://www.booking.com/hotel/fr/chateau-saint-gilles.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"9,7","Situé à Bayeux, à 4 km du musée Baron Gérard, le Château Saint Gilles propose un restaurant, un parking privé gratuit, un bar et un salon commun. ","80, rue de la Mairie, Guéron, 14400 Bayeux, France",Bayeux,49.2495007,-0.7133712
6,7,Le Castel Guesthouse,https://www.booking.com/hotel/fr/le-castel-noble-guesthouse.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"8,7","La maison d'hôtes Le Castel Guesthouse est située au cœur de la ville médiévale de Bayeux, à mi-chemin entre la gare, la cathédrale et le musée de la Tapisserie. ","1 Boulevard Sadi Carnot, 14400 Bayeux, France",Bayeux,49.2705093,-0.6976975
7,8,La Maison de Mathilde,https://www.booking.com/hotel/fr/la-maison-de-mathilde.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"9,0","La Maison de Mathilde vous accueille à Bayeux, à 100 mètres du musée Baron Gérard et à 200 mètres du musée de la Tapisserie de Bayeux. ","23 Rue Larcher, 14400 Bayeux, France",Bayeux,49.276299,-0.7016543
8,9,Hotel Reine Mathilde,https://www.booking.com/hotel/fr/reine-mathilde-bayeux.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"8,7","L'hôtel Reine Mathilde se situe dans le quartier médiéval de Bayeux, à seulement 300 mètres du musée de la Tapisserie. ","23 Rue Larcher, 14400 Bayeux, France",Bayeux,49.276299,-0.7016543
9,10,LOGIS DU GRAND PIN,https://www.booking.com/hotel/fr/logis-du-grand-pin.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"9,5","Offrant une vue sur le jardin, le LOGIS DU GRAND PIN est situé à Bayeux, à 3,9 km du musée de la Tapisserie de Bayeux. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé. ","14 Rue des Brunelles, 14400 Bayeux, France",Bayeux,49.2567709,-0.6717485
