,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Hotel Cote Basque,https://www.booking.com/hotel/fr/cote-basque.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"8,0","L'Hotel Cote Basque est situé au cœur de la ville historique de Bayonne, en face du pont Saint-Esprit. Il propose une connexion Wi-Fi gratuite et des chambres avec salle de bains privative. ","2 rue Maubec, 64100 Bayonne, France",Bayonne,43.4961476,-1.4696237
1,2,Villa la Renaissance,https://www.booking.com/hotel/fr/villa-la-renaissance-bayonne.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"9,2","La Villa la Renaissance propose des chambres à Bayonne, à 600 mètres du parc Ansot et à 1,2 km de la cathédrale Sainte-Marie. Il propose un service d'étage et une terrasse. ","12 Chemin de Jacquette, 64100 Bayonne, France",Bayonne,43.4822016,-1.46819
2,3,Hôtel Villa KOEGUI Bayonne,https://www.booking.com/hotel/fr/villa-koegui-bayonne.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"8,9","Doté d’un bar, d’un restaurant, d’une terrasse, d’un salon commun et d’une salle de sport, l’Hôtel Villa KOEGUI Bayonne propose des hébergements à Bayonne. ","7 Rue Frédéric Bastiat, 64100 Bayonne, France",Bayonne,48.8727272,2.307087
3,4,Hotel Loreak,https://www.booking.com/hotel/fr/comfort-bayonne-biarritz.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"8,0","Installé à 2 km du centre-ville de Bayonne, l’Hotel Loreak propose des hébergements avec une salle de bains privative, une connexion Wi-Fi gratuite et une télévision à écran plat. ","1 chemin de Hayet, 64100 Bayonne, France",Bayonne,43.492886,-1.4510218
4,5,ibis Styles Bayonne,https://www.booking.com/hotel/fr/loustau.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"8,1","Situé sur les rives de l'Adour et offrant une vue exceptionnelle sur la ville médiévale de Bayonne, l'ibis Styles Bayonne se trouve à quelques pas de la cathédrale du XIIe siècle. ","1 place de la République, 64100 Bayonne, France",Bayonne,43.480082805,-1.4522563307139718
5,6,Maison d'hôtes City Break MIRADOUR,https://www.booking.com/hotel/fr/city-break-miradour.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"8,7","Située à Bayonne, à proximité de la cathédrale Sainte-Marie, du parc Ansot et de l'hôtel de ville, la Maison d'hôtes City Break MIRADOUR propose une connexion Wi-Fi gratuite. ","9 Rue des Faures, 64100 Bayonne, France",Bayonne,43.4895132,-1.4789717
6,7,ibis budget Bayonne,https://www.booking.com/hotel/fr/ibis-budget-bayonne.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"7,7","Situé à 2 km du centre historique et de la gare de Bayonne, ainsi qu'à 8 km des plages, l'ibis budget Bayonne dispose d'une réception ouverte 24h/24, ainsi que d'une connexion Wi-Fi et d'un parking...","6 avenue du Grand Basque, 64100 Bayonne, France",Bayonne,43.488700699999995,-1.4572562228465888
7,8,ibis Bayonne Centre,https://www.booking.com/hotel/fr/ibis-bayonne.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"7,9","Situé à 5 minutes à pied du centre de Bayonne, l'ibis Bayonne Centre se trouve sur les rives de l'Adour, à seulement 600 mètres de la gare ferroviaire, et propose une terrasse meublée. ","46 Boulevard Alsace Lorraine, 64100 Bayonne, France",Bayonne,43.4927392,-1.465756
8,9,Temporesidence Cathedrale,https://www.booking.com/hotel/fr/temporesidence-cathedrale.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"8,0","Situé à Bayonne, le Temporesidence Cathedrale est à seulement 2,5 km de la gare et à 6 km de Biarritz. Il propose des appartements et des studios spacieux avec une kitchenette entièrement équipée. ","9 rue Sabaterie, 64100 Bayonne, France",Bayonne,43.4895048,-1.4783507
9,10,Okko Hotels Bayonne Centre,https://www.booking.com/hotel/fr/okko-hotels-bayonne-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"8,5","Situé à Bayonne, à seulement 700 mètres du centre-ville et de la cathédrale Sainte-Marie de Bayonne, l’Okko Hotels Bayonne Centre vous propose des chambres climatisées avec une connexion Wi-Fi...","22, boulevard du BAB, 64100 Bayonne, France",Bayonne,43.495713,-1.4834725
10,11,Temporesidence Chateauneuf,https://www.booking.com/hotel/fr/temporesidence-chateauneuf.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"7,5","Située dans la région Aquitaine, cette résidence propose un hébergement moderne doté d'une connexion Internet par câble et d'une télévision à écran plat avec les chaînes du câble. ","2/4 rue Pontrique, 64100 Bayonne, France",Bayonne,43.4897884,-1.4732641
11,12,Campanile Bayonne,https://www.booking.com/hotel/fr/campanile-bayonne.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"6,6","Situé à 5 minutes en voiture du centre de Bayonne, au pied des Pyrénées et au cœur du Pays basque, le Campanile Bayonne propose des chambres avec télévision à écran plat et connexion Wi-Fi gratuite. ","Avenue Du Grand Basque, 64100 Bayonne, France",Bayonne,43.4899234,-1.4560294
12,13,Hôtel Mercure Bayonne Centre Le Grand Hotel,https://www.booking.com/hotel/fr/bwlegrandhotel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"8,3","L’Hôtel Mercure Bayonne Centre Le Grand Hotel vous accueille à 5 km des plages de la côte atlantique, dans le centre-ville de Bayonne, une ville au patrimoine historique et culturel impressionnant. ","21 Rue Thiers, 64100 Bayonne, France",Bayonne,45.1871548,5.721281086011081
13,14,Hôtel des Basses Pyrénées - Bayonne,https://www.booking.com/hotel/fr/des-basses-pyrenees.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"8,6","L'Hôtel des Basses Pyrénées - Bayonne est situé à Bayonne, à moins de 200 mètres de la cathédrale Sainte-Marie et à 11 minutes à pied du parc Ansot. ","12, rue Tour De Sault, 64100 Bayonne, France",Bayonne,43.488334,-1.4763039
14,15,Hostel 20 Bayonne,https://www.booking.com/hotel/fr/hostel-20-bayonne.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"7,9","Doté d'un bar, l'Hostel 20 Bayonne est situé à Bayonne, en Aquitaine, à moins de 1 km de la cathédrale Sainte-Marie et à 1,8 km du parc Ansot. ","8 Rue Sainte-Catherine, 64100 Bayonne, France",Bayonne,43.4954328,-1.4688727
15,16,Hôtel Le Bayonne,https://www.booking.com/hotel/fr/le-bayonne-ha-tel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"7,9","Installé dans le centre-ville de Bayonne, en Aquitaine, l'Hôtel Le Bayonne vous propose une piscine extérieure chauffée ouverte en saison ainsi qu'un hammam. ","1 Avenue Jean Rostand , 64100 Bayonne, France",Bayonne,43.485325149999994,-1.4753720762707325
16,17,Premiere Classe Bayonne,https://www.booking.com/hotel/fr/premiere-classe-bayonne.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"6,0","Situé à 5 minutes du centre-ville ainsi qu'à seulement 10 minutes de la plage, le Premiere Classe Bayonne est facilement accessible depuis les autoroutes A63 et A64 (sortie 6). ","3, rue Chalibardon, 64100 Bayonne, France",Bayonne,43.4903052,-1.452102
17,18,Hotel Le Port Neuf,https://www.booking.com/hotel/fr/le-port-neuf.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=88465161789c003f&srepoch=1643974468&from=searchresults#hotelTmpl,"8,3","L'Hotel Le Port Neuf vous accueille dans le centre historique de Bayonne, à 100 mètres de la cathédrale et à 300 mètres du musée basque. ","44 Rue Port Neuf, 64100 Bayonne, France",Bayonne,43.4917213,-1.4763997
