,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Hôtel AKENA BESANCON,https://www.booking.com/hotel/fr/akena-besancon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"8,7","Situé à Besançon, à 7 km du parc Micropolis, l'Hôtel AKENA BESANCON propose un restaurant, un parking privé gratuit, un bar et une terrasse. ","1 Rue Victor Considérant - Parc de L’Echange-Vaux les Prés, 25770 Besançon, France",Besancon,47.2348974,5.8998255
1,2,ibis Styles Besançon,https://www.booking.com/hotel/fr/besancon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"7,9","Idéalement situé dans un parc, l'hôtel ibis Styles Besançon se trouve à 15 minutes à pied de la gare TGV et du centre de Besançon. ","22 bis Rue de Trey, 25000 Besançon, France",Besancon,47.2531979,6.0195347
2,3,ibis Besançon la City,https://www.booking.com/hotel/fr/ibis-besancon-la-city.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"7,8","L’ibis Besançon la City se trouve sur les rives du Doubs, dans le quartier d’affaires La City, à 10 minutes de marche du centre-ville de Besançon et de ses musées. ","1 avenue Louise Michel, 25000 Besançon, France",Besancon,47.2353733,6.014952
3,4,ibis Besançon Centre Ville,https://www.booking.com/hotel/fr/ibis-besancon-centre-ville.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"8,5","L'ibis Besançon Centre Ville se trouve dans la vieille ville de Besançon, à 500 mètres de la gare de Viotte et à 20 minutes de marche de la citadelle Vauban ainsi que du musée des beaux-arts. ","21 rue Gambetta, 25000 Besançon, France",Besancon,47.2404464,6.0259653
4,5,Best Western Citadelle,https://www.booking.com/hotel/fr/bestwesterncitadelle.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"8,3","Le Best Western Citadelle est situé dans le centre-ville historique de Besançon, à 5 minutes à pied de la rivière Doubs et de la Citadelle. ","13 rue du Général Lecourbe, 25000 Besançon, France",Besancon,47.23161,6.0269134
5,6,All Suites Besançon,https://www.booking.com/hotel/fr/all-suites-besancon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"8,1","L'Hôtel All Suites Besançon dispose d'un sauna, d'une salle de sport et d'une connexion Wi-Fi gratuite, accessible dans l'ensemble de ses locaux. ","17 Avenue des Montboucons, 25000 Besançon, France",Besancon,47.25433995,5.994993583376576
6,7,B&B Hôtel Besancon,https://www.booking.com/hotel/fr/b-amp-b-besancon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"7,6","Doté d'une connexion Wi-Fi gratuite, le B&B Hôtel Besancon propose des hébergements acceptant les animaux domestiques à 2 km du centre de Besançon et à 10 km de la citadelle de la ville. ","159 Rue de Dole, 25000 Besançon, France",Besancon,47.22002335,5.955418263697581
7,8,Hôtel de Paris,https://www.booking.com/hotel/fr/de-paris-besanasson.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"8,7","Situé dans le centre de Besançon, l'Hôtel de Paris est agrémenté d'un intérieur contemporain. Il propose une réception ouverte 24h/24 et une terrasse. ","33 rue des Granges, 25000 Besançon, France",Besancon,47.238572,6.0253486
8,9,Résidence Charles Quint,https://www.booking.com/hotel/fr/ra-c-sidence-charles-quint.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"9,0",La Résidence Charles Quint occupe un bâtiment du XVIIIe siècle dans le centre historique de Besançon. Elle propose des chambres doubles et des appartements indépendants. ,"3, rue du Chapitre, 25000 Besançon, France",Besancon,47.2334704,6.0307421
9,10,Hotel Campanile Besançon Nord Ecole Valentin,https://www.booking.com/hotel/fr/campanile-besancon-ecole-valentin.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"7,2",Le Campanile Besançon Valentin est situé à proximité de l'autoroute A36 (sortie Saint-Claude) et à 6 km de Besançon et de la gare TGV de Besançon Viotte. ,"1 Rue de Châtillon - Espace Valentin, 25480 Besançon, France",Besancon,47.27245661164238,5.987451352419168
10,11,Hotel Victor Hugo & Spa,https://www.booking.com/hotel/fr/logis-de-france-florel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"8,5",L'Hotel Victor Hugo & Spa propose un hébergement à 50 mètres de la gare de Besançon-Viotte et à seulement 15 minutes à pied du centre-ville historique de Besançon. ,"6, Rue de La Viotte, 25000 Besançon, France",Besancon,47.2472081,6.0234223
11,12,Chambre d'Hôtes La Villa Molina,https://www.booking.com/hotel/fr/la-villa-molina.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"9,3","Installée dans un jardin arboré doté d'une terrasse ombragée, la Chambre d'Hôtes La Villa Molina est une villa française située à 5 minutes à pied de la gare de Viotte. ","12 Chemin Français, 25000 Besançon, France",Besancon,47.2504537,6.0209128
12,13,Hotel Du Nord,https://www.booking.com/hotel/fr/du-nord-besancon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"8,3","Cet hôtel est situé au cœur de Besançon, à seulement 700 mètres des rives du Doubs. ","8, rue Moncey, 25000 Besançon, France",Besancon,47.2373724,6.0260619
13,14,Zenitude Hôtel-Résidences Les Hauts Du Chazal,https://www.booking.com/hotel/fr/residence-hauts-du-chazal.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"8,1","Le Zenitude Hôtel-Résidences Les Hauts Du Chazal est situé à proximité du grand centre commercial Chateaufarineau, à seulement 15 minutes du centre-ville. ","26, rue Paul Milleret, 25000 Besançon, France",Besancon,47.2245709,5.9559943
14,15,Hôtel Restaurant Spa Le Sauvage,https://www.booking.com/hotel/fr/ho-tel-le-sauvage-besanasson.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"9,0","L'Hôtel Restaurant Spa Le Sauvage vous accueille dans un ancien monastère des Clarisses, dans le quartier historique de Besançon, à 500 mètres des anciens contreforts de la citadelle. ","6, rue du Chapitre, 25000 Besançon, France",Besancon,47.231853,6.027883
15,16,ibis budget Besançon Centre Gare,https://www.booking.com/hotel/fr/ibis-budget-besanasson-centre-gare.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"7,6","Situé à Besançon, à seulement 100 mètres de la gare de la Viotte, l'hôtel ibis budget Besançon Centre Gare propose des chambres simples dotées d'une connexion Wi-Fi gratuite et d'un accès 24h/24. ","5, avenue Maréchal Foch, 25000 Besançon, France",Besancon,47.2468431,6.0230937
16,17,Hotel Restaurant Siatel Chateaufarine,https://www.booking.com/hotel/fr/siatel-chateaufarine.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"7,9","Doté d’une connexion Wi-Fi gratuite, l’Hotel Restaurant Siatel Chateaufarine propose des hébergements à 7,5 km du centre de Besançon, en Bourgogne-Franche-Comté. ","6 Rue Louis Aragon, 25000 Besançon, France",Besancon,47.21599255,5.94237475
17,18,"App Standing LeCarnot Centre Ville, Parking et Piscine",https://www.booking.com/hotel/fr/appartement-lecarnot-centre-ville-avec-piscine.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"9,2","Situé à moins de 4,4 km de Micropolis et à 700 mètres du musée des beaux-arts et d'archéologie de Besançon, l'App Standing LeCarnot Centre Ville, Parking et Piscine propose une connexion Wi-Fi...","49 Avenue Sadi Carnot, 25000 Besançon, France",Besancon,47.24431274928169,6.0218328704704795
18,19,Premiere Classe Besancon Ecole Valentin,https://www.booking.com/hotel/fr/premiere-classe-besancon-ecole-valentin.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"7,1","Situé à proximité de l'Alsace et du Jura, cet hôtel est facilement accessible depuis l'autoroute A36. Il est situé dans le village d'Ecole-Valentin, à 5 minutes de route de Besançon. ","7 Route d'Epinal, 25480 Besançon, France",Besancon,47.27245661164238,5.987451352419168
19,20,Mercure Besancon Parc Micaud,https://www.booking.com/hotel/fr/besancon-parc-micaud.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"7,3","Cet hôtel Mercure est situé dans le centre-ville de Besançon, dans les jardins du casino, au bord du Doubs et en face du parc Micaud. ","3 avenue Edouard Droz, 25000 Besançon, France",Besancon,47.2422957,6.031719
20,21,ibis budget Besançon Ecole Valentin,https://www.booking.com/hotel/fr/ibis-budget.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"6,4","L'ibis budget Besançon École Valentin vous accueille à proximité de l'autoroute A36, à 6 km du centre de Besançon et à 1 km de la gare d'École-Valentin. ","1 rue de la Poste, 25480 Besançon, France",Besancon,47.2777434,5.9945699
21,22,Appartement de charme avec parking et terrasse,https://www.booking.com/hotel/fr/appartement-de-charme-avec-parking-et-terrasse.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"8,8","Situé à Besançon, à seulement 4,3 km de Micropolis, l'Appartement de charme avec parking et terrasse propose un hébergement avec vue sur la rivière, connexion Wi-Fi et parking privé gratuits. ","19 Rue Klein, 25000 Besançon, France",Besancon,47.2455851,6.0250686
22,23,hotelF1 Besancon Ouest Micropolis -,https://www.booking.com/hotel/fr/hotelf1-besancon-ouest-micropolis.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=e26e534a70d0021e&srepoch=1643975447&from=searchresults#hotelTmpl,"5,4","L'hotelF1 Besancon Ouest Micropolis - vous accueille à Besançon, à 1 km du centre de conventions Micropolis. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking sur place. ","1 Rue Pierre Rubens, 25000 Besançon, France",Besancon,47.218441,5.981474
