,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,"HYPER CENTRE, VUE MER ,APPARTEMENT NEUF, 6 adultes",https://www.booking.com/hotel/fr/plein-centre-appartement-neuf-6-couchages-vue-mer.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=cef751dd553c01f7&srepoch=1643974716&from=searchresults#hotelTmpl,"9,6","L'HYPER CENTRE, VUE MER, APPARTEMENT NEUF, 6 adultes est un hébergement en bord de mer situé à Biarritz, à 200 mètres de la plage des Pêcheurs et à 450 mètres de la plage de la Côte des Basques. ","Place Bellevue , résidence BELLEVUE CLEMENCEAU , BAT A2 , 4° étage , appartement 702, 64200 Biarritz, France",Biarritz,43.4827836,-1.5612045916248158
1,2,Home Saint-Jean,https://www.booking.com/hotel/fr/home-saint-jean.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=cef751dd553c01f7&srepoch=1643974716&from=searchresults#hotelTmpl,"9,6","Le Home Saint-Jean propose un appartement avec vue sur la montagne situé à 1,1 km du rocher de la Vierge et à 550 mètres de la plage. ","1er etage 8 Rue des Chalets, 64200 Biarritz, France",Biarritz,43.47796475389829,-1.5521201972422498
2,3,Hôtel Le Windsor Biarritz,https://www.booking.com/hotel/fr/inter-windsor.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=cef751dd553c01f7&srepoch=1643974716&from=searchresults#hotelTmpl,"8,5","Entièrement rénové en 2021 et respectueux de l’environnement, l'Hôtel Le Windsor Biarritz est installé côté plage, au cœur de Biarritz. ","11 Avenue Edouard VII, 64200 Biarritz, France",Biarritz,43.4838927,-1.5584457
3,4,Best Western Kemaris,https://www.booking.com/hotel/fr/best-western-kemaris.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=cef751dd553c01f7&srepoch=1643974716&from=searchresults#hotelTmpl,"8,3","Alliant un environnement animé, de nombreux équipements et une ambiance chaleureuse, l'hôtel Best Western Kemaris présente une architecture typique du Pays basque. ","35 Avenue du Maréchal Joffre, 64200 Biarritz, France",Biarritz,43.4788715,-1.5621154
4,5,Radisson Blu Hotel Biarritz,https://www.booking.com/hotel/fr/radisson-blu-hotel-biarritz.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=cef751dd553c01f7&srepoch=1643974716&from=searchresults#hotelTmpl,"7,5","Situé dans le centre de Biarritz, le Radisson Blu Hotel Biarritz surplombe la plage de surf Côte des Basques. ","1 Carrefour Helianthe, 64200 Biarritz, France",Biarritz,43.47796475389829,-1.5521201972422498
5,6,Sofitel Biarritz Le Miramar Thalassa,https://www.booking.com/hotel/fr/thalassa-miramar-biarritz.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=cef751dd553c01f7&srepoch=1643974716&from=searchresults#hotelTmpl,"8,0","Situé à quelques pas du centre-ville de Biarritz, le Sofitel Biarritz Le Miramar surplombe l'une des plus belles plages de la côte basque. ","13 rue Louison Bobet, 64200 Biarritz, France",Biarritz,43.4872379,-1.5552829
6,7,Hôtel Le Café de Paris,https://www.booking.com/hotel/fr/le-cafe-de-paris-4.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=cef751dd553c01f7&srepoch=1643974716&from=searchresults#hotelTmpl,"8,8","L'Hôtel Le Café de Paris se trouve dans le centre de Biarritz, sur la place piétonne Bellevue, à 5 minutes de marche du casino. ","Place Bellevue, 64200 Biarritz, France",Biarritz,43.4827836,-1.5612045916248158
7,8,Best Western Plus Hôtel Littéraire Jules Verne,https://www.booking.com/hotel/fr/karitza-biarritz.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=cef751dd553c01f7&srepoch=1643974716&from=searchresults#hotelTmpl,"8,3","Le Best Western Plus Hôtel Littéraire Jules Verne vous accueille dans le centre-ville de Biarritz, à proximité du Palais des Festivals, du casino et des plages locales. ","2, rue Guy Petit, 64200 Biarritz, France",Biarritz,43.4783996,-1.556062
8,9,Outsite Coliving Biarritz,https://www.booking.com/hotel/fr/outsite-coliving-biarrtiz.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=cef751dd553c01f7&srepoch=1643974716&from=searchresults#hotelTmpl,"8,0","Situé à Biarritz et avec Situé à moins de 300 mètres de la plage de la Côte des Basques, l'Outsite Coliving Biarritz propose un salon commun, des chambres pour les personnes souffrant d'allergies, une...","19 Avenue Carnot, 64200 Biarritz, France",Biarritz,43.4793148,-1.5625456
9,10,Hôtel Les Baigneuses de Biarritz,https://www.booking.com/hotel/fr/le-caritz.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=cef751dd553c01f7&srepoch=1643974716&from=searchresults#hotelTmpl,"7,9","Doté d’une terrasse, l’Hôtel Les Baigneuses de Biarritz vous accueille au cœur de Biarritz, face à l’océan Atlantique, à seulement 50 mètres de la plage du Port Vieux. ","14 rue du Port Vieux, 64200 Biarritz, France",Biarritz,43.4822079,-1.5666081
