,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Provencal Holiday Home in Bormes-les-Mimosas with Terrace,https://www.booking.com/hotel/fr/villa-3-pieces-villas-jumelees.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=bd404bd710960146&srepoch=1643971631&from=searchresults#hotelTmpl,"7,9","Situé à Bormes-les-Mimosas, à seulement 2,1 km de la Grande Plage, le Provencal Holiday Home in Bormes-les-Mimosas with Terrace propose un hébergement avec des installations de sports nautiques, un...","83230 Bormes-les-Mimosas, France",Bormes les Mimosas,43.13524275384615,6.348025323947486
1,2,Le Hameau de la Nicolinière,https://www.booking.com/hotel/fr/le-hameau-de-la-nicolinia-re.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=bd404bd710960146&srepoch=1643971631&from=searchresults#hotelTmpl,"8,7","La résidence Le Hameau de la Nicolinière est située à Bormes-les-Mimosas, à 500 mètres de Cabasson et des plages de sable fin de Fort de Brégançon. ","155 Chemin du Petit Fort, 83230 Bormes-les-Mimosas, France",Bormes les Mimosas,43.1034256,6.3277497
2,3,Le petit atelier,https://www.booking.com/hotel/fr/le-petit-atelier-bormes-les-mimosas1234567891011121314151617.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=bd404bd710960146&srepoch=1643971631&from=searchresults#hotelTmpl,"8,9","Situé à Bormes-les-Mimosas, en Provence-Alpes-Côte d'Azur, à 1,6 km de la Grande Plage, l'établissement Le petit atelier propose des hébergements avec une connexion Wi-Fi gratuite, un barbecue, un...","34 Chemin de la Bergerie, 83230 Bormes-les-Mimosas, France",Bormes les Mimosas,43.1435373,6.3474507
3,4,Hotel Restaurant Bellevue,https://www.booking.com/hotel/fr/restaurant-bellevue.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=bd404bd710960146&srepoch=1643971631&from=searchresults#hotelTmpl,"7,7","Situé dans le centre-ville de Bormes-les-Mimosas, l'Hotel Restaurant Bellevue possède un restaurant servant des produits frais et locaux, un bar et une terrasse se trouvant en face de l'établissement....","14 place Gambetta, 83230 Bormes-les-Mimosas, France",Bormes les Mimosas,43.1515831,6.3440597
4,5,Hostellerie du Cigalou - Les Collectionneurs,https://www.booking.com/hotel/fr/hostellerie-du-cigalou.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=bd404bd710960146&srepoch=1643971631&from=searchresults#hotelTmpl,"8,0","Cet hôtel 3 étoiles est situé dans le village médiéval de Bormes-les-Mimosas, à seulement 25 minutes de route de Toulon. ","Place Gambetta, 83230 Bormes-les-Mimosas, France",Bormes les Mimosas,43.1515831,6.3440597
5,6,Appartement Bord de Mer La Faviere,https://www.booking.com/hotel/fr/apartement-la-faviere-bormes-les-mimosas.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=bd404bd710960146&srepoch=1643971631&from=searchresults#hotelTmpl,"8,2","Renovated in January 2022, Apartement La Faviere is located in Bormes-les-Mimosas and features a terrace with views of the garden. The property is within 400 metres from some restaurants and shops. ","112 boulevard de la plage, 83230 Bormes-les-Mimosas, France",Bormes les Mimosas,43.1256888,6.3563272
6,7,Hôtel Paradis,https://www.booking.com/hotel/fr/paradis.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=bd404bd710960146&srepoch=1643971631&from=searchresults#hotelTmpl,"7,9",L'hôtel Paradis occupe un bâtiment datant de 1920 et bénéficie d'un jardin luxuriant. Il offre une vue panoramique sur la mer et le vieux village de Bormes. ,"62 Impasse du Castellan, 83230 Bormes-les-Mimosas, France",Bormes les Mimosas,43.1446649,6.335241
7,8,Maison au village de Bormes Les Mimosas,https://www.booking.com/hotel/fr/maison-au-village-de-bormes-les-mimosas.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=bd404bd710960146&srepoch=1643971631&from=searchresults#hotelTmpl,"8,8","Situé à 2,6 km de la Grande Plage, à 2,8 km de la plage de l'Anglade et à 3 km de La Favière, La Maison au village de Bormes Les Mimosas propose des hébergements à Bormes-les-Mimosas. ","11 Rue de la Plaine des Ânes, 83230 Bormes-les-Mimosas, France",Bormes les Mimosas,43.150514,6.3417101
8,9,Eden Rose Grand Hotel BW Premier Collection,https://www.booking.com/hotel/fr/eden-rose-grand-bw-premier-collection.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=bd404bd710960146&srepoch=1643971631&from=searchresults#hotelTmpl,"8,7","Situé à Bormes-les-Mimosas, à 2,7 km de la Grande Plage, l'Eden Rose Grand Hotel BW Premier Collection propose un restaurant, un parking privé, un bar et un jardin. ","167 Route Du Baguier, 83230 Bormes-les-Mimosas, France",Bormes les Mimosas,43.1527275,6.342839329545452
9,10,"Appartement Bormes-les-Mimosas, 2 pièces, 4 personnes - FR-1-251-311",https://www.booking.com/hotel/fr/apartment-appt-2-pieces-4-couchages-bormes-les-mimosas.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=bd404bd710960146&srepoch=1643971631&from=searchresults#hotelTmpl,"8,2","Situé à 2,7 km de la Grande Plage et à 6 km de La Favière, l'Appartement Bormes-les-Mimosas, 2 pièces, 4 personnes - FR-1-251-311 propose un hébergement à Bormes-les-Mimosas. ","91 rue carnot  , 83230 Bormes-les-Mimosas, France",Bormes les Mimosas,43.150799,6.340744
