,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,SOWELL HOTELS Les Chevaliers,https://www.booking.com/hotel/fr/soleil-vacances-les-chevaliers.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"8,2","Situé à Carcassonne, à 2 minutes à pied de l'Aude et offrant une vue sur le pont Vieux, le SOWELL HOTELS Les Chevaliers propose une connexion Wi-Fi gratuite. ","2 bis Rue des Calquières, 11000 Carcassonne, France",Carcassonne,43.2111959,2.3577408
1,2,La terrasse de La Tour Pinte.,https://www.booking.com/hotel/fr/la-terrasse-de-la-tour-pinte.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"9,7","La terrasse de La Tour Pinte est située à Carcassonne, à moins de 1 km de la Maison des Mémoires et à 2,3 km de la cathédrale. ","70 rue de la barbacane, 11000 Carcassonne, France",Carcassonne,43.2076406,2.3612485
2,3,Le Jardin de la cité,https://www.booking.com/hotel/fr/le-jardin-de-la-cite.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"9,3","Situé à Carcassonne, à 2,2 km de la Maison des Mémoires et à 3 km de la cathédrale, l'établissement Le Jardin de la cité propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation et...","1 Chemin de Montlegun, 11000 Carcassonne, France",Carcassonne,43.2054086,2.3711807
3,4,Best Western Plus Le Donjon - Cœur de La Cité Médiévale,https://www.booking.com/hotel/fr/bestwesternledonjon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"8,4","Situé au cœur de la cité médiévale de Carcassonne, le Best Western Plus Le Donjon - Cœur de La Cité Médiévale est entouré par les anciens remparts de la ville. ","2 Rue Du Comte Roger, La Cité, 11000 Carcassonne, France",Carcassonne,43.20638675,2.363530710423099
4,5,Domaine Le Couvent,https://www.booking.com/hotel/fr/le-couvent-carcassonne.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"9,3","La propriété du Couvent propose deux villas à Grèzes, à 10 minutes de route de Carcassonne. L'une des villas est un ancien couvent et l'autre un ancien presbytère. ","9 Rue Des Saumes - Hameau De Grezes, 11000 Carcassonne, France",Carcassonne,43.209670240906426,2.3599021561600706
5,6,Hotel de la Cité & Spa MGallery,https://www.booking.com/hotel/fr/hotel-de-la-cite.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"8,9",L'Hotel de la Cite Carcassonne - MGallery Collection vous accueille dans un château de style médiéval situé à l'intérieur des remparts de Carcassonne. ,"Place Auguste Pierre Pont, 11000 Carcassonne, France",Carcassonne,43.20553565,2.362775155220239
6,7,La Rapière,https://www.booking.com/hotel/fr/la-rapia-re.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"8,5","Située juste à l'extérieur des remparts, la maison d'hôtes La Rapière vous accueille à seulement 150 mètres de la ville médiévale de Carcassonne et à 15 minutes à pied du centre-ville. ","9 Montée Gaston Combéléran, 11000 Carcassonne, France",Carcassonne,43.2081071,2.3671291
7,8,Mercure Carcassonne Porte De La Cité,https://www.booking.com/hotel/fr/carcassonne-porte-de-la-cite.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"8,1","Offrant une vue sur les remparts de la ville, le Mercure Carcassonne Porte De La Cité est situé à seulement 4 minutes à pied du quartier médiéval de Carcassonne. ","18 Rue Camille Saint-Saens, 11000 Carcassonne, France",Carcassonne,43.2068308,2.3695757
8,9,Carcassonne Pont Vieux Apartments,https://www.booking.com/hotel/fr/ney.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"9,0",Le Carcassonne Pont Vieux Apartments propose des hébergements à Carcassonne. Vous bénéficierez d'une connexion Wi-Fi gratuite. ,"34 Rue du Pont Vieux, 11000 Carcassonne, France",Carcassonne,43.2105341,2.357933
9,10,Sous les courtines,https://www.booking.com/hotel/fr/sous-les-courtines.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"9,4","Doté d'un jardin de 700 m² et d'un barbecue, l'établissement Sous les courtines est situé à Carcassonne, à 100 mètres des remparts de la ville. ","12 Rue Barbacane, 11000 Carcassonne, France",Carcassonne,43.2097565,2.3603889
10,11,Apartment Jeanne,https://www.booking.com/hotel/fr/apartment-jeanne.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"9,5","Situé à Carcassonne, à 200 mètres de la Maison des Mémoires, à 600 mètres de la cathédrale et à 5 km du campus de l'IUT de Perpignan - Carcassonne, l'Apartment Jeanne propose un hébergement avec une...","54 Rue Voltaire, 11000 Carcassonne, France",Carcassonne,43.2111425,2.3508879
11,12,Hôtel du Château & Spa - Les Collectionneurs,https://www.booking.com/hotel/fr/du-chateau-carcassonne.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"8,5",L'Hôtel du Château & Spa - Les Collectionneurs se situe à 30 mètres de l'entrée de la cité médiévale de Carcassonne. ,"2 Rue Camille Saint Saens, 11000 Carcassonne, France",Carcassonne,43.209670240906426,2.3599021561600706
12,13,GOOD KNIGHT,https://www.booking.com/hotel/fr/good-knight.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"9,0","Situé à 5 mètres du château de Carcassonne et à 2,4 km de la cathédrale de Carcassonne, le Good Knight propose des hébergements avec un jardin, un parking privé et une terrasse. ","17 montée gaston combelean, 11000 Carcassonne, France",Carcassonne,43.209670240906426,2.3599021561600706
13,14,un gîte dans la cité,https://www.booking.com/hotel/fr/un-gite-dans-la-cite.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=d9005008f0cf009e&srepoch=1643973778&from=searchresults#hotelTmpl,"9,4","Situé à Carcassonne, à 2,2 km de la Maison des Mémoires et à 3,1 km de la cathédrale, l'établissement un gîte dans la cité propose un hébergement climatisé avec une terrasse et une connexion Wi-Fi...","4 rue du tréseau  la cité, 11000 Carcassonne, France",Carcassonne,43.209670240906426,2.3599021561600706
