,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Villa W,https://www.booking.com/hotel/fr/villa-w.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b6dc4a150cd1028e&srepoch=1643970732&from=searchresults#hotelTmpl,"9,2","Située à seulement 500 mètres du port de Cassis, la Villa W dispose d'une piscine, d'un spa, d'un sauna et d'une salle de remise en forme. ","6 avenue de Verdun, 13260 Cassis, France",Cassis,43.2187773,5.5334906
1,2,Cassis Au bord de l'Eau Studio climatisé avec Terrasse et vue mer à 40m de la plage,https://www.booking.com/hotel/fr/location-au-bord-de-l-eau-cassis.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b6dc4a150cd1028e&srepoch=1643970732&from=searchresults#hotelTmpl,"9,3","Situé à Cassis, à quelques pas du Bestouan, l’établissement Cassis Au bord de l'Eau Studio climatisé avec Terrasse et vue mer à 40m de la plage propose un hébergement en bord de mer avec une terrasse...","Le calendal 2 Avenue des Calanques, 13260 Cassis, France",Cassis,43.220677467053854,5.534493805024293
2,3,"Mon petit Paradis, Cassis centre Apt 90 m2, 200 m Mer, terr plein sud, clim park privé",https://www.booking.com/hotel/fr/mon-petit-paradis-cassis-centre-apt-90-m2-200-m-mer-terr-plein-sud-clim-park-pri.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b6dc4a150cd1028e&srepoch=1643970732&from=searchresults#hotelTmpl,"9,1","Situé à Cassis, à 400 mètres de la Grande Mer et à 500 mètres de la plage de l'Anse de Corton, le Mon petit Paradis, Cassis centre Apt 90 m2, 200 mètres de Mer, terr plein sud, clim park privé propose...","BAT A1, Résidence le Cézanne Avenue du Professeur René Leriche, 13260 Cassis, France",Cassis,43.220677467053854,5.534493805024293
3,4,Villa Cassis,https://www.booking.com/hotel/fr/villa-cassis.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b6dc4a150cd1028e&srepoch=1643970732&from=searchresults#hotelTmpl,"9,2","Située à seulement 30 km de Marseille, la Villa Cassis se trouve sur la presqu'île de Cassis, avec ses plages et baies rocheuses. ","1 Avenue Notre Dame, 13260 Cassis, France",Cassis,43.2116567,5.5265463
4,5,Appartement du Pecheur,https://www.booking.com/hotel/fr/appartement-du-pecheur.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b6dc4a150cd1028e&srepoch=1643970732&from=searchresults#hotelTmpl,"9,4","Situé à Cassis, à 250 mètres de la Grande Mer et à 600 mètres du Bestouan, l'Appartement du Pecheur propose une connexion Wi-Fi gratuite et la climatisation. ","21 rue du General Bonaparte, 13260 Cassis, France",Cassis,43.2149806,5.5389037
5,6,CASSIS PARADISE,https://www.booking.com/hotel/fr/cassis-paradise.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b6dc4a150cd1028e&srepoch=1643970732&from=searchresults#hotelTmpl,"8,9","Doté d'un jardin et d'une terrasse, le CASSIS PARADISE propose un hébergement à Cassis avec une connexion Wi-Fi gratuite et une vue sur le jardin. ","Résidence Le Messuguet 51 Rue de la Cardalino, 13260 Cassis, France",Cassis,43.220677467053854,5.534493805024293
6,7,Les Trois Oliviers à Cassis,https://www.booking.com/hotel/fr/les-trois-oliviers-a-cassis.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b6dc4a150cd1028e&srepoch=1643970732&from=searchresults#hotelTmpl,"9,7","Situé à Cassis, à 150 mètres de la plage de l'Anse de Corton et à 250 mètres de l'Arène, l'établissement Les Trois Oliviers à Cassis dispose d'un jardin et de la climatisation. ","Av. du Revestel Bât C4 Résidence Le Grand Large, 13260 Cassis, France",Cassis,43.220677467053854,5.534493805024293
7,8,vue cap canaille et proche centre,https://www.booking.com/hotel/fr/vue-cap-canaille-et-proche-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b6dc4a150cd1028e&srepoch=1643970732&from=searchresults#hotelTmpl,"9,5","L'appartement vue cap canaille et proche centre est situé à Cassis, à 600 mètres de la plage de l'Anse de Corton, à 650 mètres de la Grande Mer et à moins de 1 km de l'Arene. ","appartement C2 Romarin residence le Panoramic Avenue de Provence, 13260 Cassis, France",Cassis,43.220677467053854,5.534493805024293
8,9,Home Cassis - Maison Mediterrannee - Piscine chauffée,https://www.booking.com/hotel/fr/home-cassis-maison-mediterrannee.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b6dc4a150cd1028e&srepoch=1643970732&from=searchresults#hotelTmpl,"8,1","Située à Cassis et offrant une vue sur sa piscine, la maison de vacances Home Cassis. ","6 Avenue Abbe Cabrol, 13260 Cassis, France",Cassis,43.2195746,5.5374727
9,10,"""Côté Charlemagne"" Centre-ville Garage Piscine Terrasse",https://www.booking.com/hotel/fr/studio-le-club-cassis1.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b6dc4a150cd1028e&srepoch=1643970732&from=searchresults#hotelTmpl,"9,7","Situé à Cassis, l'hébergement climatisé ""Côté Charlemagne"" Centre-ville Garage Piscine Terrasse offre une vue sur sa piscine privée et dispose d'une terrasse. ","Résidence Le Club, 13 avenue Jules Ferry, 13260 Cassis, France",Cassis,43.220677467053854,5.534493805024293
