,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Gîte L'Orée du Château - Appartement Potiron,https://www.booking.com/hotel/fr/gite-l-39-oree-du-chateau.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6eaa52aa7623027e&srepoch=1643975125&from=searchresults#hotelTmpl,"9,7","Situé à Orschwiller, le Gîte L'Orée du Château - Appartement Potiron propose un restaurant, un bar et un jardin. Vous séjournerez à 28 km de Rust et bénéficierez d'un parking privé gratuit. ","Schaflager, 67600 Orschwiller, France",Chateau du Haut Koenigsbourg,48.248216299999996,7.355023016317015
1,2,Hôtel Restaurant Le Schlossberg,https://www.booking.com/hotel/fr/le-schlossberg.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6eaa52aa7623027e&srepoch=1643975125&from=searchresults#hotelTmpl,"8,4","Le Schlossberg Hotel bénéficie d'un emplacement idéal au cœur du vieux village de Zellenberg, au milieu de maisons alsaciennes à colombages. ","Rue De La Fontaine, 68340 Zellenberg, France",Chateau du Haut Koenigsbourg,48.1683016,7.3192204
2,3,L'éclos des vignes - Appartements haut de gamme avec Spa,https://www.booking.com/hotel/fr/gite-les-amandiers.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6eaa52aa7623027e&srepoch=1643975125&from=searchresults#hotelTmpl,"9,2","Situé à Bergheim, en Alsace, à 14 km de Colmar, l'établissement Gîte Les Amandiers est doté d'un barbecue et d'une vue sur le jardin. Fribourg-en-Brisgau est à 43 km. ","8 Faubourg Saint Pierre, 68750 Bergheim, France",Chateau du Haut Koenigsbourg,48.2058382,7.357262
3,4,Hotel Kieffer,https://www.booking.com/hotel/fr/restaurant-kieffer.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6eaa52aa7623027e&srepoch=1643975125&from=searchresults#hotelTmpl,"9,3","Situé sur la route des vins d'Alsace, l'Hôtel Kieffer propose des chambres dotées d'une connexion Wi-Fi gratuite et d'une télévision à écran plat. ","28 Route des Vins, 67140 Itterswiller, France",Chateau du Haut Koenigsbourg,48.3633783,7.4322149
4,5,La Maison de Vacances,https://www.booking.com/hotel/fr/la-maison-de-vacances.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6eaa52aa7623027e&srepoch=1643975125&from=searchresults#hotelTmpl,"9,5","La Maison de Vacances est un gîte indépendant situé sur les collines de Nothalten, au milieu des vignobles alsaciens. ","9 rue de la Ferme, 67680 Nothalten, France",Chateau du Haut Koenigsbourg,48.3560746,7.4196127
5,6,Gîte Binnert Bader,https://www.booking.com/hotel/fr/au-muenchberg.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6eaa52aa7623027e&srepoch=1643975125&from=searchresults#hotelTmpl,"9,5","Situé dans la région viticole du Bas-Rhin, le Gîte Binnert Bader propose une terrasse et des chambres insonorisées. Cette maison de vacances se trouve à 15 km de la gare de Sélestat. ","73a,route du vin, 67680 Nothalten, France",Chateau du Haut Koenigsbourg,48.3562936,7.425262
6,7,Remparts de Riquewihr Apartments,https://www.booking.com/hotel/fr/remparts-de-riquewihr.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6eaa52aa7623027e&srepoch=1643975125&from=searchresults#hotelTmpl,"9,1",L'établissement Remparts de Riquewihr Apartments propose des appartements indépendants situés à différentes adresses dans le village historique de Riquewihr. ,"9 Rue des Cordiers, 68340 Riquewihr, France",Chateau du Haut Koenigsbourg,48.1677627,7.2965151
7,8,Villa Maeva - Logements,https://www.booking.com/hotel/fr/riquewihr-magnifique-appartement-de-120-m2.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6eaa52aa7623027e&srepoch=1643975125&from=searchresults#hotelTmpl,"9,6","Située au milieu des vignobles alsaciens et des sentiers de randonnée à Riquewihr, la Villa Maeva - Logements propose un hébergement indépendant avec une connexion Wi-Fi gratuite et un coin salon avec...","13 Avenue Jacques Preiss, 68340 Riquewihr, France",Chateau du Haut Koenigsbourg,48.1660483,7.3009445
8,9,Hôtel du Haut Koenigsbourg - le hk romantique au naturel,https://www.booking.com/hotel/fr/le-haut-koenigsbourg.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6eaa52aa7623027e&srepoch=1643975125&from=searchresults#hotelTmpl,"9,2",L’Hôtel du Haut Koenigsbourg - le hk romantique au naturel propose des hébergements avec salle de bains privative dans le parc régional des Ballons des Vosges. ,"9 rue de Rodern, 68590 Thannenkirch, France",Chateau du Haut Koenigsbourg,48.2316254,7.3022223
9,10,Villa Grimm,https://www.booking.com/hotel/fr/villa-grimm.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=6eaa52aa7623027e&srepoch=1643975125&from=searchresults#hotelTmpl,"9,8","Située à Sainte-Marie-aux-Mines, la Villa Grimm propose un salon commun, un jardin et une terrasse. ","166 rue Clemenceau, 68160 Sainte-Marie-aux-Mines, France",Chateau du Haut Koenigsbourg,48.2441071,7.1770697
