,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Les Roches Brunes,https://www.booking.com/hotel/fr/les-roches-brunes-collioure.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"9,0","Situé à Collioure, à 100 mètres de la plage de Balette, l'établissement Les Roches Brunes propose un hébergement en bord de mer, un restaurant, un bar et un jardin. ","Route de Port-Vendres, 66190 Collioure, France",Collioure,42.5236384,3.086529
1,2,Hôtel La Casa Pairal,https://www.booking.com/hotel/fr/hotelcasapairal.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"8,7","Situé à 250 mètres de la plage et du port de Collioure, l’Hôtel La Casa Pairal propose un jardin fleuri exotique et une piscine extérieure chauffée. ","Impasse Des Palmiers, 66190 Collioure, France",Collioure,42.5256723,3.0826554
2,3,Hôtel Triton,https://www.booking.com/hotel/fr/triton.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"7,4","Situé sur la plage du Boutiquet, l’Hôtel Triton propose des chambres climatisées donnant sur la baie de Collioure ou sur les Pyrénées. ","Rue Jean Bart, 66190 Collioure, France",Collioure,42.523805,3.0870084
3,4,Les Suites de Collioure,https://www.booking.com/hotel/fr/les-suites-de-collioure.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"9,4","Situé à Collioure, à 200 mètres de la plage de Port Avall et à 350 mètres de celle de Boramar, l'établissement Les Suites de Collioure propose une vue sur la ville et une connexion Wi-Fi gratuite. ","16 avenue du Général de Gaulle, 66190 Collioure, France",Collioure,42.5243618,3.0827298
4,5,Le Madeloc Hôtel & Spa,https://www.booking.com/hotel/fr/madeloc.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"8,8","Situé à 500 mètres du centre-ville de Collioure et à 10 minutes à pied de la plage, l'hôtel Madeloc propose une piscine extérieure chauffée ouverte toute l'année, un solarium sur le toit, un jacuzzi...","24 Rue Romain Rolland, 66190 Collioure, France",Collioure,42.528834450000005,3.078816503051552
5,6,La Frégate,https://www.booking.com/hotel/fr/la-fra-c-gate-collioure.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"8,1","Installé à Collioure, à 150 mètres de la plage de Boramar, L’établissement La Frégate vous propose un restaurant, un bar et un salon commun. ","24 Boulevard Camille Pelletan, 66190 Collioure, France",Collioure,42.5263984,3.0832876
6,7,Le Mas des Citronniers,https://www.booking.com/hotel/fr/lesmasdescitronniers.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"8,0","Situé dans le centre de Collioure, à seulement 250 mètres de la plage, le Mas des Citronniers propose des chambres climatisées dans un bâtiment traditionnel catalan. ","22 Avenue de La Republique, 66190 Collioure, France",Collioure,42.52404271458334,3.0835780268139232
7,8,Résidence du Soleil,https://www.booking.com/hotel/fr/residence-du-soleil-collioure.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"7,6","Situé dans le centre-ville de Collioure, à 400 mètres du château royal et à 100 mètres de la plage, cet appartement dispose d'une terrasse et d'un jardin. ","B 7 Rue du Soleil, 66190 Collioure, France",Collioure,42.5231763,3.0851355
8,9,Au coeur de Collioure,https://www.booking.com/hotel/fr/au-coeur-de-collioure.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"9,1","Situé à Collioure, à 50 mètres de la plage de Boramar et à 150 mètres de celle du Nord, l'établissement Au coeur de Collioure propose une connexion Wi-Fi gratuite et la climatisation. ","6, Rue Rière, 66190 Collioure, France",Collioure,42.527384,3.0846933
9,10,Hotel Méditerranée,https://www.booking.com/hotel/fr/mediterranee-collioure.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"7,9","Doté d'un jardin de style méditerranéen et d'une terrasse, l'Hotel Méditerranée se trouve à Collioure, à 5 minutes de marche de la plage la plus proche. ","Avenue Aristide Maillol, 66190 Collioure, France",Collioure,42.52404271458334,3.0835780268139232
10,11,Villa Finca Majorca - 6FI15,https://www.booking.com/hotel/fr/villa-finca-majorca.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"7,7","Dotée d'une piscine extérieure ouverte en saison, la Villa Finca Majorca - 6FI15 est située à Collioure, à 650 mètres de la plage d'Ouille, à moins de 1 km de la plage de Boramar et à 10 minutes à...","Rue Julien Py, 66190 Collioure, France",Collioure,42.5272204,3.0753458
11,12,COLLIOURE tres bel appart a 150 metres des plages avec jardin prive et parking dans residence securisee,https://www.booking.com/hotel/fr/collioure-tres-bel-appart-a-150-metres-des-belles-plages-avec-jardin.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"9,0","COLLIOURE tres bel appart Doté d'un jardin et d'un casino, l'établissement a 150 mètres des plages avec jardin prive et parking dans residence securisee est situé à Collioure, à 150 mètres de la plage...","112 bat N ""la cobla"" immeuble D1 Résidence Val Saint-Elme, 66190 Collioure, France",Collioure,42.52404271458334,3.0835780268139232
12,13,appart central,https://www.booking.com/hotel/fr/appart-central-collioure.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"9,0","Situé à Collioure, à 250 mètres de la plage de Port Avall et à 350 mètres de celle de Boramar, l'appart central dispose de la climatisation. ","32 bis impasse du jardin baretge, 66190 Collioure, France",Collioure,42.5247371,3.0821496
13,14,Hôtel Princes de Catalogne,https://www.booking.com/hotel/fr/princes-de-catalogne.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"8,1","Situé sur une place tranquille dans la ville pittoresque de Collioure, l'Hôtel Princes de Catalogne se trouve à 400 mètres de la plage. Il a été rénové début 2009 et affiche un style contemporain. ","Rue Des Palmiers, 66190 Collioure, France",Collioure,42.5259471,3.0827721
14,15,Appartement Sous le Soleil,https://www.booking.com/hotel/fr/appartement-sous-le-soleil.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"9,4","Situé à Collioure, à 700 mètres de la plage de Ouille et de celle de Boramar, l'Appartement Sous le Soleil dispose d'une terrasse et de la climatisation. ","D118 2 RUE JULIEN PY - Résidence Finca Majorca Aigue Marine, 66190 Collioure, France",Collioure,42.52404271458334,3.0835780268139232
15,16,Bel appartement pour 4 personnes - 4SAP22,https://www.booking.com/hotel/fr/residence-saphir-4sa711.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"8,0","Situé à 50 mètres de la plage de Balette, à 200 mètres de la plage de Boutigue et à 250 mètres de celle de Port Avall, le Bel appartement pour 4 personnes - 4SAP22 propose un hébergement à Collioure. ","residence Saphir Route Imperiale 1b, 66190 Collioure, France",Collioure,42.52404271458334,3.0835780268139232
16,17,Residence Les Balcons de Collioure - maeva Home,https://www.booking.com/hotel/fr/maeva-particuliers-residence-les-balcons-de-collioure.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"7,0","Situé à Collioure, à moins de 6 minutes à pied du château royal de Collioure, l'établissement Maeva Particuliers Residence Les Balcons de Collioure propose des hébergements avec un coin salon et une...","28 Route de Port-Vendres, 66190 Collioure, France",Collioure,42.5236384,3.086529
17,18,La Chambre De Salome,https://www.booking.com/hotel/fr/la-chambre-de-salome.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=3f024a99ab400136&srepoch=1643970996&from=searchresults#hotelTmpl,"9,0","Situé à Collioure, à 750 mètres de la plage de Port Avall et à moins de 1 km de celle de Boutigue, l'établissement La Chambre De Salome propose des hébergements avec une connexion Wi-Fi gratuite, la...","23  Ter Chemin De Consolation, 66190 Collioure, France",Collioure,42.5216582,3.0768728
