,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Colmarappart Rue Des Clefs,https://www.booking.com/hotel/fr/colmarappart-rue-des-clefs.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1d2e537348bb021b&srepoch=1643975528&from=searchresults#hotelTmpl,"8,6",Le Colmarappart Rue Des Clefs propose des hébergements à Colmar. La collégiale Saint-Martin est à 200 mètres. ,"1 Rue Des Clefs, 68000 Colmar, France",Colmar,48.07785,7.3607392
1,2,Odalys City Colmar La Rose d'Argent,https://www.booking.com/hotel/fr/appart-39-odalys-la-rose-d-39-argent.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=1d2e537348bb021b&srepoch=1643975528&from=searchresults#hotelTmpl,"7,9","Situé à Colmar, à seulement 1,6 km de la gare, l'Odalys City Colmar La Rose d'Argent propose une salle de sport et une piscine à contre-courant avec jets de massage. ","2 RUE DU GRILLENBREIT, 68000 Colmar, France",Colmar,48.0786391,7.3663963
2,3,ColmarAppart Vauban,https://www.booking.com/hotel/fr/colmarappart-vauban.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=1d2e537348bb021b&srepoch=1643975528&from=searchresults#hotelTmpl,"8,7","Le ColmarAppart Vauban vous accueille à Colmar, à 300 mètres de la collégiale Saint-Martin et à 500 mètres de la Maison des Têtes. Une connexion Wi-Fi est accessible gratuitement. ","14 RUE VAUBAN, 68000 Colmar, France",Colmar,48.0785888,7.3614859
3,4,Ibis Colmar Est - Hotel Restaurant en Alsace,https://www.booking.com/hotel/fr/ibis-colmar-horbourg-wihr.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=1d2e537348bb021b&srepoch=1643975528&from=searchresults#hotelTmpl,"7,6","L'établissement ibis Colmar East - Hotel Brasserie en Alsace est situé à 5 km de la route des vins d'Alsace et à 10 km de Kaysersberg, Riquewihr et Eguisheim. ","13, Route De Neuf-Brisach - Horbourg Wihr, 68180 Colmar, France",Colmar,48.0779282,7.4027907
4,5,Comfort Hotel Expo Colmar,https://www.booking.com/hotel/fr/comfort-expo-colmar.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=1d2e537348bb021b&srepoch=1643975528&from=searchresults#hotelTmpl,"8,7","Installé à 4 km du centre-ville de Colmar et à 2 km de l’autoroute A35, le Comfort Hotel Expo Colmar vous propose une réception ouverte 24h/24, une terrasse et une connexion Wi-Fi gratuite. ","2c rue Timken, 68000 Colmar, France",Colmar,48.0982106,7.3619204
5,6,Grand Hôtel Bristol,https://www.booking.com/hotel/fr/grandhotelbristol.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=1d2e537348bb021b&srepoch=1643975528&from=searchresults#hotelTmpl,"8,0","Installé à Colmar, le Grand Hôtel Bristol se trouve en face de la gare historique, desservie par les TGV. ","7 place de La Gare, 68000 Colmar, France",Colmar,48.0725122,7.3476966611343375
6,7,Kyriad Colmar Centre Unterlinden,https://www.booking.com/hotel/fr/kyriad-colmar-cita-c-administrative.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1d2e537348bb021b&srepoch=1643975528&from=searchresults#hotelTmpl,"8,5","Situé à 650 mètres du centre-ville de Colmar, au cœur de l'Alsace, le Kyriad Colmar Centre Unterlinden propose une connexion Wi-Fi gratuite et un coin salon. ","2 Rue De La Fecht, 68000 Colmar, France",Colmar,48.085973,7.3573984
7,8,LE 17,https://www.booking.com/hotel/fr/le-17-colmar.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=1d2e537348bb021b&srepoch=1643975528&from=searchresults#hotelTmpl,"9,6","Situé en plein cœur de Colmar, l'établissement LE 17 propose un hébergement avec vue sur la ville, à seulement 400 mètres de la Maison des Têtes et à moins de 1 km de la collégiale Saint-Martin. ","17 rue des Têtes, 68000 Colmar, France",Colmar,48.0787034,7.355729
8,9,Le rohan sawadee,https://www.booking.com/hotel/fr/le-rohan-sawadee.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1d2e537348bb021b&srepoch=1643975528&from=searchresults#hotelTmpl,"9,5","Situé dans le quartier de la vieille ville de Colmar, à proximité de la collégiale Saint-Martin, l'établissement Le rohan sawadee dispose d'une terrasse, d'une connexion Wi-Fi gratuite et d'un...","3 éme étage 3a Boulevard du Champ de Mars, 68000 Colmar, France",Colmar,48.08386603773582,7.360065852566095
9,10,Ibis Budget Colmar Centre Gare,https://www.booking.com/hotel/fr/ibis-budget-colmar-centre-ville.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=1d2e537348bb021b&srepoch=1643975528&from=searchresults#hotelTmpl,"7,3","L'ibis budget Colmar Centre Ville vous accueille à Colmar, dans le quartier du centre-ville, à 300 mètres de la Maison des Têtes et à 600 mètres de la collégiale Saint-Martin. ","15 Rue Stanislas, 68000 Colmar, France",Colmar,48.0796491,7.3522923
