,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,ibis Dijon Gare,https://www.booking.com/hotel/fr/ibis-dijon-gare.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"8,0","L'hôtel ibis Dijon Gare est situé en face de la gare, à seulement 10 minutes à pied du centre-ville historique. ","15 Avenue Albert 1Er, 21000 Dijon, France",Dijon,47.3224289,5.0242261
1,2,"Holiday Inn Express Dijon, an IHG Hotel",https://www.booking.com/hotel/fr/holiday-inn-express-dijon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"8,3","Situé à Saint-Apollinaire, l'Holiday Inn Express Dijon possède une piscine extérieure. Cet établissement climatisé propose une réception ouverte 24h/24, une terrasse bien exposée et un bar. ","8 Rue de la Glaciere (Saint-Apollinaire), 21850 Dijon, France",Dijon,47.3266677,5.0751317
2,3,Odalys City Dijon Les Cordeliers,https://www.booking.com/hotel/fr/appart-39-odalys-les-cordeliers.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"8,1",L'Odalys City Dijon Les Cordeliers est situé dans le centre historique de Dijon. ,"3/5, rue Turgot, Centre-ville de Dijon, 21000 Dijon, France",Dijon,47.326476187592306,5.045650311063819
3,4,"Holiday Inn Dijon Toison D'or, an IHG Hotel",https://www.booking.com/hotel/fr/holiday-inn-dijon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"8,0","Doté d'un spa avec un sauna, un hammam et une salle de sport, le Holiday Inn Dijon Toison D'or vous accueille en périphérie du centre-ville historique de Dijon, en plein cœur du parc technologique de...","1 Place Marie de Bourgogne, 21000 Dijon, France",Dijon,47.3554713,5.0514677
4,5,Novotel Dijon Route des Grands Crus,https://www.booking.com/hotel/fr/novotel-dijon-sud.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"7,3","Situé sur la route des vins de Bourgogne, le Novotel Dijon Route des Grands Crus se trouve à 10 minutes de Dijon, dans la région des vignobles de Marsannay-la-Côte. ","11 Route De Beaune, 21160 Dijon, France",Dijon,47.279311,5.008161280487805
5,6,City Loft Apparthotel,https://www.booking.com/hotel/fr/city-loft.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"8,3","Idéalement situé au cœur du quartier piétonnier, le City Loft Apparthotel se trouve près du palais des ducs. ","96 rue des Godrans, Centre-ville de Dijon, 21000 Dijon, France",Dijon,47.3226439,5.0381645
6,7,Hôtel des Ducs,https://www.booking.com/hotel/fr/des-ducs-dijon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"8,6","Situé à 50 mètres du palais des ducs, dans le centre historique de Dijon classé au patrimoine mondial de l'UNESCO, l'Hôtel des Ducs propose un bar ainsi qu'une connexion Wi-Fi gratuite. ","5, rue Lamonnoye, Centre-ville de Dijon, 21000 Dijon, France",Dijon,47.3217191,5.0436102
7,8,Oceania Le Jura Dijon,https://www.booking.com/hotel/fr/tidijon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"8,6","L'Oceania Le Jura Dijon vous accueille dans le centre-ville, à 200 mètres de la gare et à 10 minutes de tramway du Palais des Congrès. ","14 Avenue Foch, Centre-ville de Dijon, 21000 Dijon, France",Dijon,47.3236292,5.0302889
8,9,Hôtel des Halles,https://www.booking.com/hotel/fr/hotel-des-halles-dijon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"8,9","L'Hôtel des Halles vous accueille dans le centre-ville historique de Dijon, à 50 mètres de la zone piétonne et à 300 mètres du marché couvert des halles centrales. ","8 rue Montigny, Centre-ville de Dijon, 21000 Dijon, France",Dijon,47.3255595,5.0367851
9,10,Hotel ibis Dijon Centre Clemenceau,https://www.booking.com/hotel/fr/ibis-dijon-centre-clemenceau.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"7,8",L’Hotel ibis Dijon Centre Clemenceau vous propose une réception ouverte 24h/24 ainsi que des hébergements climatisés avec télévision par satellite et connexion Wi-Fi gratuite. ,"2 avenue de Marbotte, 21000 Dijon, France",Dijon,47.3299384,5.0520533
10,11,Hôtel Restaurant initial by balladins Dijon Nord,https://www.booking.com/hotel/fr/hotel-balladins-dijon-nord-superior.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"7,6","Situé à 12 minutes en voiture du centre-ville de Dijon, l'Hôtel Balladins Dijon Nord possède des chambres climatisées avec connexion Wi-Fi gratuite, des salles de réunion et un restaurant. ","4, Rue Des Ardennes, 21000 Dijon, France",Dijon,47.3514116,5.0693515
11,12,Kyriad Hotel Dijon Gare,https://www.booking.com/hotel/fr/kyriad-gare.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"7,3",Le Kyriad Hotel Dijon Gare vous accueille à 120 mètres de la gare de Dijon. Il dispose d'une piscine intérieure et de chambres insonorisées avec une connexion Wi-Fi gratuite. ,"7-9 Rue Docteur Albert Remy, Centre-ville de Dijon, 21000 Dijon, France",Dijon,47.3223658,5.03014
12,13,Aparthotel Adagio Access Dijon République,https://www.booking.com/hotel/fr/aparthotel-adagio-access-dijon-republique.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"8,5","Situé dans le centre-ville de Dijon, à seulement 3 minutes à pied de la place de la République, l'Aparthotel Adagio Access Dijon République propose une réception ouverte 24h/24 et une connexion Wi-Fi...","33 rue de Mulhouse, 21000 Dijon, France",Dijon,47.3257335,5.0492284
13,14,ibis Dijon Sud,https://www.booking.com/hotel/fr/ibis-dijon-sud.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"7,9","Situé à 6 km du centre de Dijon, l'ibis Dijon Sud propose une réception ouverte 24h/24, un restaurant et un bar avec une terrasse. ","Rue Bolotte - Route de Beaune, 21160 Dijon, France",Dijon,47.27501123713581,4.986880677789491
14,15,Hotel Victor Hugo,https://www.booking.com/hotel/fr/victor-hugo-dijon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=5fe452d06138013c&srepoch=1643975202&from=searchresults#hotelTmpl,"8,3","Situé à quelques pas du centre historique de Dijon et à 650 mètres de la gare, l'Hôtel Victor Hugo possède un jardin et des chambres dotées d'une télévision à écran plat et d'une salle de bains...","23 Rue des Fleurs, 21000 Dijon, France",Dijon,47.3264795,5.0337117
