,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,James Vignoble Hôtel - Eguisheim,https://www.booking.com/hotel/fr/saint-hubert-eguisheim.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2a54539e29360125&srepoch=1643975614&from=searchresults#hotelTmpl,"8,8",Le James Vignoble Hôtel - Eguisheim est situé au milieu des vignobles d'Eguisheim. Il offre une vue spectaculaire sur la Forêt-Noire. ,"6 rue des 3 Pierres, 68420 Eguisheim, France",Eguisheim,48.0447968,7.3079618
1,2,Fleur de Vigne,https://www.booking.com/hotel/fr/fleur-de-vignes-eguisheim.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2a54539e29360125&srepoch=1643975614&from=searchresults#hotelTmpl,"9,6","Situé à Eguisheim, à moins de 800 mètres du marché de Noël, le Fleur de Vigne propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation et un jardin. ","7 Rue du Tokay, 68420 Eguisheim, France",Eguisheim,48.0460273,7.3054022
2,3,Hotel Colmar Vignes Eguisheim,https://www.booking.com/hotel/fr/auberge-des-comtes.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2a54539e29360125&srepoch=1643975614&from=searchresults#hotelTmpl,"8,8","Situé à 200 mètres du centre-ville d'Eguishein et à 10 minutes en voiture de Colmar, l'Hotel Colmar Vignes Eguisheim met gratuitement à votre disposition une connexion Wi-Fi ainsi qu'un parking privé....","2 rue des Trois Châteaux, 68420 Eguisheim, France",Eguisheim,48.0411145,7.3044649
3,4,Résidence Pierre & Vacances Le Clos d'Eguisheim,https://www.booking.com/hotel/fr/residence-pierre-et-vacances-le-clos-d-eguisheim.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2a54539e29360125&srepoch=1643975614&from=searchresults#hotelTmpl,"8,0","La Résidence Pierre & Vacances Le Clos d’Eguisheim est située à 700 mètres du centre du village d’Eguisheim en Alsace, le long de la route des vins. ","Route De Wettolsheim, 68420 Eguisheim, France",Eguisheim,48.0428499,7.3117667
4,5,Brit Hotel Confort La Ferme du Pape,https://www.booking.com/hotel/fr/hostellerie-du-pape.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2a54539e29360125&srepoch=1643975614&from=searchresults#hotelTmpl,"7,9","Le Brit Hotel Confort La Ferme du Pape vous accueille à l'entrée d'un charmant village au cœur des vignobles, dans une région gastronomique, à 8 km de Colmar. ","10 Grand Rue, 68420 Eguisheim, France",Eguisheim,48.0421816,7.3095597
5,6,L'Hostellerie du Château,https://www.booking.com/hotel/fr/hostellerie-du-chateau-eguisheim.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2a54539e29360125&srepoch=1643975614&from=searchresults#hotelTmpl,"9,1","L'établissement L'Hostellerie du Château est situé au cœur du village médiéval d'Eguisheim, sur la route des vins d'Alsace. ","2 rue du Château, 68420 Eguisheim, France",Eguisheim,48.0424482,7.3063179
6,7,Les chambres du domaine,https://www.booking.com/hotel/fr/les-chambres-du-domaine.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2a54539e29360125&srepoch=1643975614&from=searchresults#hotelTmpl,"9,2","Situé à Eguisheim, en Alsace, avec le marché de Noël d'Eguisheim Situé à proximité, l'établissement Les chambres du domaine propose gratuitement une connexion Wi-Fi et un parking privé. ","3 Cour Unterlinden, 68420 Eguisheim, France",Eguisheim,48.0447968,7.3079618
7,8,Hôtel Restaurant À la ville de Nancy,https://www.booking.com/hotel/fr/ha-tel-restaurant-a-la-ville-de-nancy.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2a54539e29360125&srepoch=1643975614&from=searchresults#hotelTmpl,"8,4","Situé dans le village alsacien typique d'Eguisheim, cet hôtel occupe un bâtiment à colombages et dispose d'un restaurant servant une cuisine régionale traditionnelle. ","2 place Charles de Gaulle, 68920 Eguisheim, France",Eguisheim,48.0434875,7.304419856342218
8,9,Résidence Vénus,https://www.booking.com/hotel/fr/ra-c-sidence-va-c-nus.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2a54539e29360125&srepoch=1643975614&from=searchresults#hotelTmpl,"8,8","L'appartement 1 chambre du Résidence Vénus est situé le long de la route des Vins d'Alsace, à 13 km du club de golf d'Ammerschwihr. ","10 Rue du Rempart Nord, 68420 Eguisheim, France",Eguisheim,48.043673,7.3056674
9,10,Guesthouse Les 3 Chateaux,https://www.booking.com/hotel/fr/guesthouse-les-3-chateaux.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2a54539e29360125&srepoch=1643975614&from=searchresults#hotelTmpl,"8,7","Situé à 100 mètres du marché de Noël d'Eguisheim, le Guesthouse Les 3 Chateaux propose une terrasse et une connexion Wi-Fi gratuite. ","61 Rue du Rempart Nord, 68420 Eguisheim, France",Eguisheim,48.043288,7.3074799
