,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,La Bastide du Calalou; BW Signature Collection,https://www.booking.com/hotel/fr/bastide-du-calalou.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d57b4fb36227016d&srepoch=1643973607&from=searchresults#hotelTmpl,"8,4",La Bastide Du Calalou est située à 30 minutes de route des Gorges du Verdon et à 20 minutes en voiture du lac de Sainte-Croix. ,"Le Village, 83630 Moissac-Bellevue, France",Gorges du Verdon,43.6527962,6.1666256
1,2,Camping à la Ferme de Bourras,https://www.booking.com/hotel/fr/camping-a-la-ferme-de-bourras.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d57b4fb36227016d&srepoch=1643973607&from=searchresults#hotelTmpl,"8,9","Situé à La Palud-sur-Verdon, le Camping à la Ferme de Bourras propose des hébergements avec une connexion Wi-Fi gratuite et un coin salon. ","Camping Bourras, 04120 La Palud-sur-Verdon, France",Gorges du Verdon,43.7829072,6.349669310414159
2,3,Les Bastides de Chanteraine,https://www.booking.com/hotel/fr/les-bastides-de-chanteraine.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d57b4fb36227016d&srepoch=1643973607&from=searchresults#hotelTmpl,"8,3","Situé à Aiguines, l'établissement Les Bastides de Chanteraine propose des hébergements avec une piscine extérieure, un restaurant et un bar. ","Chanteraine, 83630 Aiguines, France",Gorges du Verdon,43.7634544,6.220999620456275
3,4,L'Establoun,https://www.booking.com/hotel/fr/l-39-establoun.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d57b4fb36227016d&srepoch=1643973607&from=searchresults#hotelTmpl,"9,7","Situé à Saint-Martin-de-Brômes, l'établissement L'Establoun offre une vue sur sa piscine extérieure. Cet hébergement climatisé se trouve à 6 km de Gréoux-les-Bains. ","Chemin de la Palud - D82, 04800 Saint-Martin-de-Brômes, France",Gorges du Verdon,43.770354,5.9544558
4,5,Lou Paradou,https://www.booking.com/hotel/fr/hotellouparadou.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d57b4fb36227016d&srepoch=1643973607&from=searchresults#hotelTmpl,"8,9","L'hôtel Lou Paradou vous accueille à Gréoux-les-Bains, au bord du Verdon, au milieu des champs de lavande du cœur de la Provence. ","Route de Valensole, 04800 Gréoux-les-Bains, France",Gorges du Verdon,43.7600914,5.8889256
5,6,Terres de France - Résidence Côté Provence,https://www.booking.com/hotel/fr/residence-cote-provence.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d57b4fb36227016d&srepoch=1643973607&from=searchresults#hotelTmpl,"7,4","Situé à Gréoux-les-Bains, à 43 km de Lourmarin, le Terres de France - Résidence Côté Provence propose une piscine extérieure ouverte en saison et une connexion Wi-Fi gratuite. ","11 Avenue des Thermes, 04800 Gréoux-les-Bains, France",Gorges du Verdon,43.7582053,5.8993035
6,7,Camping Frédéric Mistral,https://www.booking.com/hotel/fr/camping-fra-c-da-c-ric-mistral.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d57b4fb36227016d&srepoch=1643973607&from=searchresults#hotelTmpl,"8,2","Le camping Frédéric Mistral est situé dans le centre-ville de Castellane, à seulement 4 km du lac de Castillon et à 100 mètres de la place du marché et des commerces. ","12 Av. Frédéric Mistral, 04120 Castellane, France",Gorges du Verdon,43.82350272169813,6.462707696170458
7,8,Camping La Ferme de Castellane,https://www.booking.com/hotel/fr/camping-la-ferme-de-castellane.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d57b4fb36227016d&srepoch=1643973607&from=searchresults#hotelTmpl,"8,9","Installé dans le village de Castellane, le Camping La Ferme de Castellane se situe sur les berges de la rivière, à 5 minutes de route des gorges du Verdon. ","Quartier la Lagne, 04120 Castellane, France",Gorges du Verdon,43.82350272169813,6.462707696170458
8,9,Le gite du grand cèdre - proche des gorges du Verdon,https://www.booking.com/hotel/fr/le-gite-du-grand-cedre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d57b4fb36227016d&srepoch=1643973607&from=searchresults#hotelTmpl,"9,3","Situé à Allemagne-en-Provence, en Provence-Alpes-Côte d'Azur, Le gite du grand cèdre - proche des gorges du Verdon dispose d'une terrasse et offre une vue sur le jardin. ","45 chemin de Roumpe Cuou, 04500 Allemagne-en-Provence, France",Gorges du Verdon,43.7819561,6.006981
9,10,La Clorinde,https://www.booking.com/hotel/fr/holiday-home-la-clorinde.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d57b4fb36227016d&srepoch=1643973607&from=searchresults#hotelTmpl,"9,2","Installée à 800 mètres de Moustiers-Sainte-Marie, la maison d'hôtes La Clorinde vous propose une vue panoramique sur les montagnes, un grand jardin et une terrasse. ","chemin du Jas du colombier, 04360 Moustiers-Sainte-Marie, France",Gorges du Verdon,43.84336476428572,6.220739455317704
