,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Maison Barbillon Grenoble,https://www.booking.com/hotel/fr/maison-barbillon-grenoble.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=465d5105d6ea00b5&srepoch=1643974284&from=searchresults#hotelTmpl,"8,3","La Maison Barbillon Grenoble vous accueille à Grenoble, à seulement 100 mètres de la gare. ","10, Rue Barbillon, 38000 Grenoble, France",Grenoble,45.190805049999994,5.716580513626965
1,2,Hôtel de l'Europe Grenoble hyper-centre,https://www.booking.com/hotel/fr/de-l-europe-grenoble.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=465d5105d6ea00b5&srepoch=1643974284&from=searchresults#hotelTmpl,"8,4","Situé au cœur de Grenoble, l'Hôtel de l'Europe Grenoble hyper-centre est le plus ancien hôtel de la ville, installé dans un bâtiment datant du XVIIe siècle. ","22 Place Grenette, 38000 Grenoble, France",Grenoble,45.1903354,5.727157624579975
2,3,Novotel Grenoble Centre,https://www.booking.com/hotel/fr/grenoble-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=465d5105d6ea00b5&srepoch=1643974284&from=searchresults#hotelTmpl,"7,7","Le Novotel Grenoble Centre est installé au cœur du quartier des affaires de Grenoble, à seulement quelques pas de la gare TGV. ","7 Place Robert Schuman, 38000 Grenoble, France",Grenoble,45.19146,5.7128425
3,4,Adagio Grenoble Centre,https://www.booking.com/hotel/fr/hipark.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=465d5105d6ea00b5&srepoch=1643974284&from=searchresults#hotelTmpl,"7,6","L’Adagio Grenoble Centre est situé dans le quartier des affaires Europole, à 5 minutes à pied de la gare TGV de Grenoble et à 10 minutes de marche du centre-ville. ","6 rue Auguste Genin, 38000 Grenoble, France",Grenoble,45.1891998,5.7121883
4,5,Hôtel d’Angleterre Grenoble Hyper-Centre,https://www.booking.com/hotel/fr/tiangleterre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=465d5105d6ea00b5&srepoch=1643974284&from=searchresults#hotelTmpl,"7,9","L'Hôtel d'Angleterre Grenoble Hyper-Centre est situé au cœur de Grenoble, face aux jardins de la place Victor Hugo et à seulement 1 minute à pied de l'arrêt de tramway Victor Hugo. ","5, place Victor Hugo, 38000 Grenoble, France",Grenoble,45.18923995,5.725453065463084
5,6,B&B Hôtel Grenoble Centre Alpexpo,https://www.booking.com/hotel/fr/b-amp-b-grenoble-centre-alpexpo.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=465d5105d6ea00b5&srepoch=1643974284&from=searchresults#hotelTmpl,"7,7","Le B&B Grenoble Centre Alpexpo est situé à Grenoble, à seulement 800 mètres d'Alpexpo. Doté d'une réception ouverte 24h/24, il propose une connexion Wi-Fi gratuite et des hébergements insonorisés. ","31, Avenue de l'Europe, 38100 Grenoble, France",Grenoble,45.158938750000004,5.734500985088028
6,7,Residhotel Grenette,https://www.booking.com/hotel/fr/le-royal-grenoble.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=465d5105d6ea00b5&srepoch=1643974284&from=searchresults#hotelTmpl,"7,6","Le Residhotel Grenette est situé dans le centre de Grenoble, à 3 minutes à pied de la place Victor Hugo. Il propose un hébergement indépendant avec une connexion Wi-Fi gratuite. ","12 Rue De Palanka, 38000 Grenoble, France",Grenoble,45.1908437,5.7242849
7,8,Hotel Mercure Grenoble Centre Président,https://www.booking.com/hotel/fr/grand-mercure-grenoble-president.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=465d5105d6ea00b5&srepoch=1643974284&from=searchresults#hotelTmpl,"7,8","Situé à 10 minutes du centre-ville de Grenoble, l'Hôtel Mercure Grenoble Centre Président est accessible en tramway et par d'autres transports en commun. ","11, Rue Général Mangin, 38100 Grenoble, France",Grenoble,45.17853,5.720102
8,9,Le Grand Hôtel Grenoble,https://www.booking.com/hotel/fr/le-grand-grenoble-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=465d5105d6ea00b5&srepoch=1643974284&from=searchresults#hotelTmpl,"8,7","Le Grand Hôtel Grenoble est un établissement 4 étoiles situé dans le centre-ville de Grenoble, à 10 mètres de la place Grenette. Les chambres sont insonorisées et climatisées. ","5 rue de la Republique, 38000 Grenoble, France",Grenoble,45.1908136,5.7285297
9,10,1924 Hôtel,https://www.booking.com/hotel/fr/royal-grenoble.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=465d5105d6ea00b5&srepoch=1643974284&from=searchresults#hotelTmpl,"8,5","Doté d’une connexion Wi-Fi gratuite, le 1924 Hôtel est installé au cœur de Grenoble, à seulement 450 mètres de la gare SNCF, à moins de 1 minute à pied de l’arrêt de tramway Alsace-Lorraine. ","2 Rue Gabriel Peri, 38000 Grenoble, France",Grenoble,45.1878293438503,5.719828566899618
