,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port,https://www.booking.com/hotel/fr/inter-saint-jean-d-acre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1f085058fb570009&srepoch=1643973939&from=searchresults#hotelTmpl,"8,4","L’établissement Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port vous accueille dans la ville de La Rochelle, sur le vieux port. ","4, Place de La Chaîne et 3 rue Saint-Jean du Perot, 17000 La Rochelle, France",La Rochelle,46.1434997,-1.1693924
1,2,Studio Vieux-Port La Rochelle,https://www.booking.com/hotel/fr/studio-vieux-port-la-rochelle-la-rochelle.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=1f085058fb570009&srepoch=1643973939&from=searchresults#hotelTmpl,"8,8","Le Studio Vieux-Port La Rochelle est situé dans le centre-ville de La Rochelle, à moins de 1 km de la plage de la Concurrence et de la salle multifonctions Espace Encan, ainsi qu’à 2,3 km du quartier...","43, Quai Valin, 17000 La Rochelle, France",La Rochelle,46.156015,-1.1495467
2,3,Petite Roche,https://www.booking.com/hotel/fr/petite-roche.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=1f085058fb570009&srepoch=1643973939&from=searchresults#hotelTmpl,"9,2","Dotée d'une terrasse et d'une connexion Wi-Fi gratuite, la Petite Roche est située dans le centre de La Rochelle, à proximité de la Concurrence, de la Grosse Horloge et du Bunker. ","22 rue des Fonderies, 17000 La Rochelle, France",La Rochelle,46.1598986,-1.1465297
3,4,Hôtel Le Rochelois,https://www.booking.com/hotel/fr/le-rochelois.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=1f085058fb570009&srepoch=1643973939&from=searchresults#hotelTmpl,"8,0",L'Hôtel Le Rochelois possède une piscine extérieure ouverte en saison et un court de tennis. La connexion Wi-Fi est gratuite dans l'ensemble de l'établissement. ,"66, boulevard Winston Churchill  Port neuf, 17000 La Rochelle, France",La Rochelle,46.1538024,-1.1804493
4,5,L'Appart Du Vieux Port,https://www.booking.com/hotel/fr/l-39-appart-du-vieux-port-la-rochelle.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=1f085058fb570009&srepoch=1643973939&from=searchresults#hotelTmpl,"8,8","Situé à La Rochelle, à moins de 1 km de la Concurrence, l'établissement L'Appart Du Vieux Port propose des hébergements avec vue sur la mer. ","19 Quai Valin, 17000 La Rochelle, France",La Rochelle,46.1573917,-1.1500527
5,6,Hôtel Altica La Rochelle,https://www.booking.com/hotel/fr/altica-la-rochelle.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=1f085058fb570009&srepoch=1643973939&from=searchresults#hotelTmpl,"6,9",L’Hôtel Altica La Rochelle vous accueille à seulement 1 km du centre-ville de la Rochelle. propose des chambres confortables équipées d’une connexion Wi-Fi gratuite. ,"49, Rue de la Scierie Les Minimes, 17000 La Rochelle, France",La Rochelle,46.1464001,-1.1527361
6,7,Central Park Hôtel & Spa,https://www.booking.com/hotel/fr/central-park-amp-spa.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1f085058fb570009&srepoch=1643973939&from=searchresults#hotelTmpl,"8,7","Le Central Park Hôtel & Spa est un établissement 4 étoiles situé à La Rochelle, à côté du Vieux-Port, à quelques minutes à pied de la plage et à 10 minutes de marche du cœur de la ville. ","4, avenue Jean Guiton, 17000 La Rochelle, France",La Rochelle,46.1585653,-1.1586213
7,8,Hotel La Fabrique,https://www.booking.com/hotel/fr/la-fabrique-la-rochelle.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=1f085058fb570009&srepoch=1643973939&from=searchresults#hotelTmpl,"8,5",L'Hotel La Fabrique vous accueille à La Rochelle et vous propose un bar sur place. Les chambres disposent d'une télévision à écran plat. ,"7-9-11 rue de la Fabrique, 17000 La Rochelle, France",La Rochelle,46.1559097,-1.1495946
8,9,ATHOME RESIDENCE ET SPA,https://www.booking.com/hotel/fr/athome-residence-et-spa.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1f085058fb570009&srepoch=1643973939&from=searchresults#hotelTmpl,"8,2","Situé à La Rochelle, l'ATHOME RESIDENCE ET SPA propose une connexion Wi-Fi gratuite, un bar, un salon commun et un jardin. ","33 avenue du docteur planet, 17000 La Rochelle, France",La Rochelle,46.1474562,-1.1506625
9,10,Résidence Pierre & Vacances Centre,https://www.booking.com/hotel/fr/pierre-vacances-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=1f085058fb570009&srepoch=1643973939&from=searchresults#hotelTmpl,"7,5","La Résidence Pierre & Vacances Centre propose des hébergements à La Rochelle, à 5 minutes de marche du vieux port et à 300 mètres de la gare TGV. ","14, quai de Marans, 17000 La Rochelle, France",La Rochelle,46.1550816,-1.1481722
