,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Hilton Garden Inn Le Havre Centre,https://www.booking.com/hotel/fr/hilton-garden-inn-le-havre-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=3e465258f75f020d&srepoch=1643974962&from=searchresults#hotelTmpl,"8,6","Le Hilton Garden Inn Le Havre Centre est situé sur le front de mer du Havre, à 350 mètres de la plage et à 300 mètres de l'église Saint-Joseph. ","128 Boulevard Clemenceau, Perret, 76600 Le Havre, France",Le Havre,49.485039,0.1018787
1,2,Nomad Hotel le Havre,https://www.booking.com/hotel/fr/nomad-le-havre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=3e465258f75f020d&srepoch=1643974962&from=searchresults#hotelTmpl,"8,6","Le Nomad Hotel Le Havre propose des chambres climatisées, dotées d'une connexion Wi-Fi gratuite et décorées dans un style moderne. ","5 rue Magellan, 76600 Le Havre, France",Le Havre,49.4933607,0.1255593
2,3,Holiday Inn Express - Le Havre Centre,https://www.booking.com/hotel/fr/campanile-le-havre-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=3e465258f75f020d&srepoch=1643974962&from=searchresults#hotelTmpl,"8,2","L’Holiday Inn Express - Le Havre Centre, situé dans le centre-ville du Havre et à 600 mètres de la gare SNCF, vous accueille pour un séjour professionnel et de loisirs. ","126 Cours De La Republique, 76600 Le Havre, France",Le Havre,49.4981891,0.1287638
3,4,Hotel Spa Le Pasino,https://www.booking.com/hotel/fr/pasino.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=3e465258f75f020d&srepoch=1643974962&from=searchresults#hotelTmpl,"8,4","Situé au cœur du Havre, l'Hotel Spa le Pasino dispose d'une piscine intérieure, d'un spa avec un sauna et d'un casino sur place. ","Place Jules Ferry, Perret, 76600 Le Havre, France",Le Havre,49.4915523,0.1127586
4,5,Séjour chez le Marin,https://www.booking.com/hotel/fr/sejour-chez-le-marin.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=3e465258f75f020d&srepoch=1643974962&from=searchresults#hotelTmpl,"8,3","Doté d'une connexion Wi-Fi et d'un parking privé gratuits, le Séjour chez le Marin est situé au Havre, à seulement 1,3 km des docks Vauban. ","35 Boulevard Amiral Mouchez, 76600 Le Havre, France",Le Havre,49.4847173,0.1335123
5,6,Best Western Plus Le Havre Centre Gare,https://www.booking.com/hotel/fr/hotelterminuslehavre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3e465258f75f020d&srepoch=1643974962&from=searchresults#hotelTmpl,"8,6","Situé dans le centre du Havre, à seulement 10 minutes de route de la plage, le Best Western Plus Le Havre Centre Gare est un hôtel design 4 étoiles doté d'une connexion Wi-Fi gratuite. ","23, Cours De La République, 76600 Le Havre, France",Le Havre,49.4933163,0.1244227
6,7,Mercure Le Havre Centre Bassin Du Commerce,https://www.booking.com/hotel/fr/mercure-bassin-du-commerce.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=3e465258f75f020d&srepoch=1643974962&from=searchresults#hotelTmpl,"7,6","Le Mercure Le Havre Centre Bassin Du Commerce se trouve dans le centre-ville du Havre, en face du Bassin du Commerce et à proximité du port ferry. ","Chaussée Georges Pompidou, 76600 Le Havre, France",Le Havre,49.4906925,0.1166659
7,8,Hôtel Spa Vent d'Ouest,https://www.booking.com/hotel/fr/vent-d-ouest-le-havre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=3e465258f75f020d&srepoch=1643974962&from=searchresults#hotelTmpl,"8,2","L’Hôtel Spa Vent d’Ouest se situe au Havre, à seulement 550 mètres de la plage et à 5 minutes de route du terminal ferry. ","4 Rue De Caligny, Perret, 76600 Le Havre, France",Le Havre,49.4923099,0.1007394
8,9,Premiere Classe Le Havre Centre-LES DOCKS,https://www.booking.com/hotel/fr/premiere-classe-le-havre-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=3e465258f75f020d&srepoch=1643974962&from=searchresults#hotelTmpl,"7,5","Situé au Havre, à proximité des autoroutes A13 et A29, le Premiere Classe Le Havre Centre-LES DOCKS propose gratuitement une connexion Wi-Fi dans l'ensemble des locaux et un parking privé. ","Rue Nungesser et Coli, 76600 Le Havre, France",Le Havre,49.4962072,0.1515875
9,10,Hôtel Carmin,https://www.booking.com/hotel/fr/carmin.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=3e465258f75f020d&srepoch=1643974962&from=searchresults#hotelTmpl,"8,6","L'Hôtel Carmin est situé dans le centre-ville du Havre, à 700 mètres de la plage HAVRE. Il propose des chambres avec salle de bains privative et connexion Wi-Fi gratuite. ","15, Rue Georges Braque, Perret, 76600 Le Havre, France",Le Havre,49.0843005,1.926724
10,11,Le Richelieu,https://www.booking.com/hotel/fr/le-richelieu-le-havre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=3e465258f75f020d&srepoch=1643974962&from=searchresults#hotelTmpl,"7,3","Le Citotel Le Richelieu est situé entre la mairie et la cathédrale, au cœur du Havre, à seulement 10 minutes à pied de la plage et à 24 km d'Honfleur. ","132 rue de Paris, Perret, 76600 Le Havre, France",Le Havre,49.4922363,0.1077523
