,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,"Radisson Blu Hotel, Lyon",https://www.booking.com/hotel/fr/radisson-blu-hotel-lyon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6a8e5080e5c001ab&srepoch=1643974018&from=searchresults#hotelTmpl,"8,1","Situé à 300 mètres de la gare Part-Dieu, l'établissement Radisson Blu Hotel, Lyon est doté d'un restaurant-bar offrant une vue panoramique sur Lyon depuis le 32ème étage de l'emblématique tour...","129 rue Servient, 3e arr., 69003 Lyon, France",Lyon,45.7608914,4.8538999
1,2,La Suite Terreaux,https://www.booking.com/hotel/fr/la-suite-terreaux-lyon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6a8e5080e5c001ab&srepoch=1643974018&from=searchresults#hotelTmpl,"9,6","Dans le 1er arr. Quartier de Lyon, proche du Musée des Beaux-Arts de Lyon, La Suite Terreaux dispose d'une connexion Wi-Fi gratuite et d'un lave-linge. ","2 RUE D ALGERIE , 1er arr., 69001 Lyon, France",Lyon,45.7670408,4.8305583
2,3,"InterContinental Lyon - Hotel Dieu, an IHG Hotel",https://www.booking.com/hotel/fr/intercontinental-hotels-lyon-dieu.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6a8e5080e5c001ab&srepoch=1643974018&from=searchresults#hotelTmpl,"9,1","Situé à Lyon, l'InterContinental Lyon - Hotel Dieu, an IHG Hotel comprend un bar, un restaurant, un jardin et une salle de sport. Vous pourrez profiter de chambres familiales et d’une terrasse. ","20 Quai Jules Courmont, 2e arr., 69002 Lyon, France",Lyon,45.7588089,4.8370652
3,4,MEININGER Hotel Lyon Centre Berthelot,https://www.booking.com/hotel/fr/meininger-lyon-centre-berthelot.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6a8e5080e5c001ab&srepoch=1643974018&from=searchresults#hotelTmpl,"8,4","Installé à Lyon, le MEININGER Hotel Lyon Centre Berthelot propose un bar, un parking privé, un salon commun et une terrasse. ","Rue Professeur Zimmermann 7, 7e arr., 69007 Lyon, France",Lyon,45.746023,4.8369948
4,5,Campanile Lyon Centre Part-Dieu,https://www.booking.com/hotel/fr/campanile-lyon-centre-forum-part-dieu.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6a8e5080e5c001ab&srepoch=1643974018&from=searchresults#hotelTmpl,"7,9",Le Campanile Lyon Centre Part-Dieu propose des chambres climatisées avec une connexion Wi-Fi gratuite en face de la gare ferroviaire de Lyon-Part-Dieu. ,"Forum Part-Dieu, 31 Rue Maurice Flandin, 3e arr., 69003 Lyon, France",Lyon,45.7637455,4.8491349
5,6,Novotel Lyon Confluence,https://www.booking.com/hotel/fr/novotel-lyon-confluence.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6a8e5080e5c001ab&srepoch=1643974018&from=searchresults#hotelTmpl,"8,2","Implanté dans le centre de Lyon, sur les rives de la Saône, le Novotel Lyon Confluence propose une terrasse et un bar avec vue panoramique sur la rivière. ","3, rue Montrochet, 2e arr., 69002 Lyon, France",Lyon,45.7492032,4.8237444
6,7,"La ""Pépite"" Du Vieux Lyon",https://www.booking.com/hotel/fr/le-bondy-saone.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6a8e5080e5c001ab&srepoch=1643974018&from=searchresults#hotelTmpl,"9,4","Donnant sur la rivière, Le Bondy-Saone se situe dans le quartier historique du Vieux Lyon, à 400 mètres du musée des beaux-arts de Lyon. Vous bénéficierez gratuitement d'une connexion Wi-Fi. ","9 Quai de Bondy, 5e arr., 69005 Lyon, France",Lyon,45.7665261,4.8282087
7,8,Mercure Lyon Centre Saxe Lafayette,https://www.booking.com/hotel/fr/mercure-grand-saxe-lafayette.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6a8e5080e5c001ab&srepoch=1643974018&from=searchresults#hotelTmpl,"8,3","Situé dans le centre de Lyon, le Mercure Lyon Centre Saxe Lafayette se trouve à 15 minutes à pied de la gare TGV Part-Dieu. ","29 Rue de Bonnel, 3e arr., 69003 Lyon, France",Lyon,45.7617336,4.8458379
8,9,Hotel Carlton Lyon - MGallery Hotel Collection,https://www.booking.com/hotel/fr/carlton-lyon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6a8e5080e5c001ab&srepoch=1643974018&from=searchresults#hotelTmpl,"8,7","Occupant un bâtiment datant de 1894, l'Hotel Carlton Lyon - MGallery by Sofitel est situé sur la Presqu'île de Lyon, à 5 minutes à pied de la station de métro Cordeliers. ","4 rue Jussieu, 2e arr., 69002 Lyon, France",Lyon,45.7610342,4.836677
9,10,Villa Florentine,https://www.booking.com/hotel/fr/villaflorentine.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6a8e5080e5c001ab&srepoch=1643974018&from=searchresults#hotelTmpl,"8,8",La Villa Florentine vous accueille au cœur du Vieux Lyon et offre une vue panoramique sur la ville. ,"25 Montée St Barthélémy, 5e arr., 69005 Lyon, France",Lyon,45.7630412,4.8256656
