,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Toyoko INN Marseille Saint Charles,https://www.booking.com/hotel/fr/toyoko-inn-marseille-saint-charles.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=79a14a72c8a601ae&srepoch=1643970918&from=searchresults#hotelTmpl,"7,9","Situé à Marseille, à seulement 5 minutes à pied de la gare de Marseille Saint-Charles, le Toyoko INN Marseille Saint Charles dispose d’un jardin et d’une connexion Wi-Fi gratuite. ","25 Avenue du General Leclerc, 13003 Marseille, France",Marseille,43.3489819,5.4874
1,2,"Holiday Inn Express Marseille Saint Charles, an IHG Hotel",https://www.booking.com/hotel/fr/holiday-inn-express-marseille-saint-charles.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=79a14a72c8a601ae&srepoch=1643970918&from=searchresults#hotelTmpl,"8,1","L'Holiday Inn Express Marseille Saint Charles se situe en face de la gare dans le centre-ville de Marseille, à 10 minutes de marche du Vieux-Port. ","15 Boulevard Maurice Bourdet, 13001 Marseille, France",Marseille,43.302747,5.3793107
2,3,ibis Marseille Centre Gare Saint Charles,https://www.booking.com/hotel/fr/ibis-marseille-gare-saint-charles.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=79a14a72c8a601ae&srepoch=1643970918&from=searchresults#hotelTmpl,"7,5","L&#39;ibis Marseille Gare Saint Charles se trouve à 1,6 km du Vieux Port et du quartier Joliette. Cet hôtel dispose d’un bar avec une terrasse équipée d’un terrain de pétanque gratuit. ","1 Square Narvick, 13001 Marseille, France",Marseille,43.30060885567774,5.3854911676254815
3,4,ibis budget Marseille Vieux Port,https://www.booking.com/hotel/fr/etap-marseille-vieux-port.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=79a14a72c8a601ae&srepoch=1643970918&from=searchresults#hotelTmpl,"7,4","Situé en plein cœur de Marseille, l’ibis Budget Marseille Vieux Port affiche une façade du XIVe siècle et possède un bar à cocktails. ","46 Rue Sainte, 13001 Marseille, France",Marseille,43.2921924,5.3737313
4,5,nhow Marseille,https://www.booking.com/hotel/fr/pullman-palm-beach-marseille.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=79a14a72c8a601ae&srepoch=1643970918&from=searchresults#hotelTmpl,"8,3","Le nhow Marseille at Palm Beach est installé en front de mer dans la baie du Prado, à 4 km du centre de Marseille. ","200 Corniche J.F. Kennedy, 13007 Marseille, France",Marseille,43.288914717100354,5.363707382048276
5,6,Novotel Marseille Centre Prado Vélodrome,https://www.booking.com/hotel/fr/novotel-marseille-centre-prado.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=79a14a72c8a601ae&srepoch=1643970918&from=searchresults#hotelTmpl,"7,8",Le Novotel Marseille Centre Prado Vélodrome est installé dans l'un des quartiers d'affaires de Marseille. ,"103, Avenue du Prado, 13008 Marseille, France",Marseille,43.268358,5.3848629
6,7,ibis Styles Marseille Gare Saint-Charles,https://www.booking.com/hotel/fr/hotel-marseille-st-charles.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=79a14a72c8a601ae&srepoch=1643970918&from=searchresults#hotelTmpl,"7,9","L’hôtel ibis Styles Marseille Gare Saint-Charles vous accueille à Marseille, en face de la gare SNCF St-Charles et à 8 minutes à pied du Vieux-Port. Vous bénéficierez d’une connexion Wi-Fi gratuite. ","28 boulevard d'Athènes, 13001 Marseille, France",Marseille,43.3011242,5.3808095
7,8,NH Collection Marseille,https://www.booking.com/hotel/fr/nh-collection-marseille.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=79a14a72c8a601ae&srepoch=1643970918&from=searchresults#hotelTmpl,"8,6","Doté d'un bar à cocktails, d'un jardin et d'une salle de sport au 6ème étage, le NH Collection Marseille vous accueille à La Joliette, le nouveau quartier des affaires et de loisirs de Marseille,...","37 Boulevard des Dames, 13002 Marseille, France",Marseille,43.3025085,5.3686907
8,9,Ibis Budget Marseille Prado,https://www.booking.com/hotel/fr/ibis-budget-marseille-prado.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=79a14a72c8a601ae&srepoch=1643970918&from=searchresults#hotelTmpl,"6,6","Situé à Marseille, l'hôtel ibis Budget Marseille Prado propose une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. ","35 Boulevard Rabatau, 13008 Marseille, France",Marseille,43.2727193,5.3917451
9,10,B&B Hôtel Marseille Prado Vélodrome,https://www.booking.com/hotel/fr/b-amp-b-marseille-velodrome-prado.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=79a14a72c8a601ae&srepoch=1643970918&from=searchresults#hotelTmpl,"7,8","Situé à Marseille, à 200 mètres du stade Vélodrome et à 2 km de la plage du Prado, le B&B Marseille Vélodrome Prado propose des chambres climatisées avec connexion Wi-Fi gratuite. ","6 Allée Marcel Leclerc, 13008 Marseille, France",Marseille,43.2683926,5.3946735
