,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Hôtel Vert,https://www.booking.com/hotel/fr/vert.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7ddc518aaa69004e&srepoch=1643974549&from=searchresults#hotelTmpl,"8,1","Situé à 2 km du Mont-Saint-Michel, sur la côte normande, l'Hôtel Vert propose des chambres décorées dans des tons pastel dotées d'une salle de bains privative, d'une télévision ainsi que d'une...","La Caserne, 50170 Le Mont-Saint-Michel, France",Mont Saint Michel,48.6355232,-1.5102571
1,2,Mercure Mont Saint Michel,https://www.booking.com/hotel/fr/mont-saint-michel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7ddc518aaa69004e&srepoch=1643974549&from=searchresults#hotelTmpl,"8,2","Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de...","La Caserne, 50170 Le Mont-Saint-Michel, France",Mont Saint Michel,48.6355232,-1.5102571
2,3,Le Relais Saint Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7ddc518aaa69004e&srepoch=1643974549&from=searchresults#hotelTmpl,"7,8",Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. ,"La Caserne, 50170 Le Mont-Saint-Michel, France",Mont Saint Michel,48.6355232,-1.5102571
3,4,La Mère Poulard,https://www.booking.com/hotel/fr/la-mere-poulard.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7ddc518aaa69004e&srepoch=1643974549&from=searchresults#hotelTmpl,"7,1","Occupant un bâtiment historique, l'hôtel La Mère Poulard jouit d'un emplacement idéal au cœur du Mont-Saint-Michel. ","Grande Rue, 50170 Le Mont-Saint-Michel, France",Mont Saint Michel,48.6351603,-1.5103268
4,5,Le Mouton Blanc,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7ddc518aaa69004e&srepoch=1643974549&from=searchresults#hotelTmpl,"7,2","Situé au pied de l'abbaye, le Mouton Blanc Hotel vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables avec une décoration simple et accueillante. ","Grande Rue , 50170 Le Mont-Saint-Michel, France",Mont Saint Michel,48.6351603,-1.5103268
5,6,Les Terrasses Poulard,https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7ddc518aaa69004e&srepoch=1643974549&from=searchresults#hotelTmpl,"7,3","Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l'établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue. ","Grande Rue, 50170 Le Mont-Saint-Michel, France",Mont Saint Michel,48.6351603,-1.5103268
6,7,Hotel De La Digue,https://www.booking.com/hotel/fr/de-la-digue.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7ddc518aaa69004e&srepoch=1643974549&from=searchresults#hotelTmpl,"7,1","L'hôtel De La Digue est un établissement traditionnel situé en Normandie, à seulement 5 minutes en navette ou à 30 minutes de marche du Mont-Saint-Michel. ","La Caserne, 50170 Le Mont-Saint-Michel, France",Mont Saint Michel,48.6355232,-1.5102571
7,8,Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7ddc518aaa69004e&srepoch=1643974549&from=searchresults#hotelTmpl,"8,1","L'Auberge Saint-Pierre occupe une maison à colombages du XIVe siècle située au Mont-Saint-Michel, une île accessible à marée basse. ","Grande Rue, 50170 Le Mont-Saint-Michel, France",Mont Saint Michel,48.6351603,-1.5103268
8,9,Hotel Gabriel,https://www.booking.com/hotel/fr/hotel-gabriel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7ddc518aaa69004e&srepoch=1643974549&from=searchresults#hotelTmpl,"8,1","L’Hotel Gabriel se trouve à 1,6 km du Mont-Saint-Michel. L’établissement est à seulement 25 minutes à pied des remparts de la vieille ville. ","Route du Mont Saint Michel, 50170 Le Mont-Saint-Michel, France",Mont Saint Michel,48.6355232,-1.5102571
9,10,Le Saint Aubert,https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7ddc518aaa69004e&srepoch=1643974549&from=searchresults#hotelTmpl,"7,3","Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial. ","La Caserne, 50170 Le Mont-Saint-Michel, France",Mont Saint Michel,48.6355232,-1.5102571
