,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Brit Hotel Confort Montauban,https://www.booking.com/hotel/fr/deltour-montauban-city.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=17e24fdfbefc0072&srepoch=1643973696&from=searchresults#hotelTmpl,"7,5","Le Deltour Hotel Montauban City se trouve au sud de Montauban, à 300 mètres de la jonction 66 de l'autoroute A20. ","Za Albasud- 16 Impasse JacquesDaguerre , 82000 Montauban, France",Montauban,44.01622242673231,1.360624392110267
1,2,Castel Bois Marie,https://www.booking.com/hotel/fr/castel-bois-marie.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=17e24fdfbefc0072&srepoch=1643973696&from=searchresults#hotelTmpl,"9,5","Situé à Montauban, le Castel Bois Marie propose un restaurant, une piscine extérieure ouverte en saison, un bar et un salon commun. Cette maison d'hôtes 5 étoiles possède un jardin. ","1083 Chemin de Bégué, 82000 Montauban, France",Montauban,43.9798277,1.3095019
2,3,DORMIR A MONTAUBAN Logements Carreyrat Calme et Verdoyant,https://www.booking.com/hotel/fr/studio-carreyrat-cadre-calme-et-verdoyant.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=17e24fdfbefc0072&srepoch=1643973696&from=searchresults#hotelTmpl,"9,2","Situé à Montauban, à 45 km de Moissac, le DORMIR A MONTAUBAN Logements Carreyrat Calme et Verdoyant dispose d'un jardin et d'une connexion Wi-Fi gratuite. ","2980 Chemin de Fayence, 82000 Montauban, France",Montauban,43.979983,1.38866
3,4,Château de Loubéjac,https://www.booking.com/hotel/fr/chateau-de-loubejac.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=17e24fdfbefc0072&srepoch=1643973696&from=searchresults#hotelTmpl,"8,9","La Château de Loubéjac est un château du XVe siècle, situé à 3 km de L'Honor-de-Cos et à 8 km de Montauban et qui dispose d'une piscine extérieure en saison, d'un court de tennis et d'une connexion...","14 chemin Jambau, 82130 Montauban, France",Montauban,44.090162,1.348874
4,5,Le bon'appart - 50m de la cathédrale,https://www.booking.com/hotel/fr/t3-90-m-hypercentre-a-50-m-de-la-cathedrale.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=17e24fdfbefc0072&srepoch=1643973696&from=searchresults#hotelTmpl,"9,2","Le bon'appart - 50m de la cathédrale est situé à Montauban. Offrant une vue sur la ville, il se trouve à 39 km de Valence. ","51 rue de la résistance, 82000 Montauban, France",Montauban,44.0186313,1.3558516
5,6,Abbaye des Capucins Spa & Resort,https://www.booking.com/hotel/fr/abbaye-des-capucins-spa-and-resort.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=17e24fdfbefc0072&srepoch=1643973696&from=searchresults#hotelTmpl,"8,4","L’Abbaye des Capucins Spa & Resort vous accueille à Montauban, à 30 minutes en voiture de Toulouse. ","6-8 Quai De Verdun, 82000 Montauban, France",Montauban,44.0211527,1.3488556
6,7,Le Ramiérou Chambres d'Hôtes,https://www.booking.com/hotel/fr/chambres-d-ha-tes-du-ramia-c-rou.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=17e24fdfbefc0072&srepoch=1643973696&from=searchresults#hotelTmpl,"7,7","Situé dans une maison de campagne rénovée du XVIIe siècle, à 3 km du centre-ville de Montauban, ce Bed & Breakfast propose des chambres avec salle de bains privative. ","960 Chemin du Ramiérou, 82000 Montauban, France",Montauban,44.0201356,1.3897444
7,8,Vanille Bourbon,https://www.booking.com/hotel/fr/vanille-bourbon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=17e24fdfbefc0072&srepoch=1643973696&from=searchresults#hotelTmpl,"9,3","Situé à Montauban, le Vanille Bourbon propose des hébergements avec connexion Wi-Fi gratuite, climatisation et accès à un jardin avec terrasse. ","24 Avenue Chamier, 82000 Montauban, France",Montauban,44.0131727,1.3445538
8,9,Hotel Kyriad Montauban,https://www.booking.com/hotel/fr/kyriad-montauban-montauban.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=17e24fdfbefc0072&srepoch=1643973696&from=searchresults#hotelTmpl,"7,5",L'Hotel Kyriad Montauban vous accueille à 3 km du centre-ville de Montauban. Il propose des chambres climatisées à la décoration simple. ,"Zi Nord Aussonne - 1 Impasse Les Tamaris, 82000 Montauban, France",Montauban,44.01622242673231,1.360624392110267
9,10,La parenthèse gourmande,https://www.booking.com/hotel/fr/la-parenthese-gourmande.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=17e24fdfbefc0072&srepoch=1643973696&from=searchresults#hotelTmpl,"9,3",La parenthèse gourmande est située à Montauban. Valence est à 39 km. ,"1 er étage 8 rue du greffe, 82000 Montauban, France",Montauban,44.01622242673231,1.360624392110267
