,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Royal Hôtel,https://www.booking.com/hotel/fr/royal.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=cb804ece0fde0166&srepoch=1643973150&from=searchresults#hotelTmpl,"8,1","Situé au cœur de Nîmes, le Royal Hôtel dispose d'un restaurant sur place, La Bodéguita, qui s'ouvre sur la place Assas. ","1 place d'Assas, 30000 Nîmes, France",Nimes,43.8388406,4.3538343
1,2,"HÔTEL B&B Ville Active, parking sécurisé gratuit",https://www.booking.com/hotel/fr/b-amp-b-nimes-villes-active.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=cb804ece0fde0166&srepoch=1643973150&from=searchresults#hotelTmpl,"7,4","L’HÔTEL B&B Ville Active, parking sécurisé gratuit vous accueille à Nîmes, à proximité de la sortie 25 de l’autoroute A9 et à 2 km du centre commercial Cap Costières. ","152 Rue Claude Nicolas Ledoux, 30900 Nîmes, France",Nimes,43.81537715,4.345235649471972
2,3,Appart'City Confort Nimes Arenes,https://www.booking.com/hotel/fr/appart-39-city-nimes.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=cb804ece0fde0166&srepoch=1643973150&from=searchresults#hotelTmpl,"8,8","L'Appart'City Confort Nîmes Arenes est situé dans le centre historique de Nîmes, à 1 minute à pied des arènes, à 300 mètres de la gare et à proximité d'un parking public souterrain. ","1 Boulevard De Bruxelles, 30000 Nîmes, France",Nimes,43.833997,4.3625266
3,4,Kyriad Nîmes Ouest A9,https://www.booking.com/hotel/fr/kyriad-na-r-mes-ouest.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=cb804ece0fde0166&srepoch=1643973150&from=searchresults#hotelTmpl,"7,8","Idéalement situé à 10 minutes en voiture du centre de Nîmes et à 2 km de la sortie 25 de l’autoroute A9, l’établissement 3 étoiles Kyriad Nîmes Ouest propose une connexion Wi-Fi à 20 Mb/s gratuite et...","Ville Active - 157 rue Tony Garnier, 30900 Nîmes, France",Nimes,43.820992607417566,4.351381160023661
4,5,Campanile Nîmes Centre Mas-Carbonnel,https://www.booking.com/hotel/fr/campanile-nimes-centre-mas-carbonnel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=cb804ece0fde0166&srepoch=1643973150&from=searchresults#hotelTmpl,"7,0","Doté d'une connexion Wi-Fi gratuite, le Campanile Nîmes Centre Mas-Carbonnel est un hôtel 3 étoiles proposant des hébergements à Nîmes, à moins de 20 minutes de marche de la gare, de la Maison Carrée...","45 Rue San-Lucar, Zac Du Mas-Carbonnel, 30900 Nîmes, France",Nimes,43.8225968,4.363084
5,6,HÔTEL C SUITES chambres spacieuses,https://www.booking.com/hotel/fr/c-suites.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=cb804ece0fde0166&srepoch=1643973150&from=searchresults#hotelTmpl,"7,2","L’HÔTEL C SUITES chambres spacieuses est un complexe urbain installé à Nîmes, à seulement 3 km des arènes. ","152 rue claude nicolas ledoux, 30900 Nîmes, France",Nimes,43.81537715,4.345235649471972
6,7,Novotel Atria Nimes Centre,https://www.booking.com/hotel/fr/atria-nimes-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=cb804ece0fde0166&srepoch=1643973150&from=searchresults#hotelTmpl,"7,9","Le Novotel Atria Nîmes Centre vous accueille dans le centre-ville de Nîmes, à quelques minutes de la gare, des célèbres arènes romaines et de la place principale. ","5 boulevard de Prague, 30000 Nîmes, France",Nimes,43.8345783,4.3608101
7,8,Logis NIMOTEL Hôtel Cosy,https://www.booking.com/hotel/fr/nimotel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=cb804ece0fde0166&srepoch=1643973150&from=searchresults#hotelTmpl,"7,3",Le Logis NIMOTEL Hôtel Cosy vous accueille à 1 km de l’autoroute A9 et à 10 minutes en voiture du centre-ville de Nîmes. ,"152 Rue Claude Nicolas Ledoux, 30900 Nîmes, France",Nimes,43.81537715,4.345235649471972
8,9,Odalys City Nîmes Le Cheval Blanc,https://www.booking.com/hotel/fr/le-cheval-blanc.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=cb804ece0fde0166&srepoch=1643973150&from=searchresults#hotelTmpl,"7,9","L'Odalys City Nîmes Le Cheval Blanc est situé dans le cœur historique de Nîmes, en face des arènes romaines et à 5 minutes à pied de la gare ferroviaire. ","1 Place des Arènes, 30000 Nîmes, France",Nimes,43.8341162,4.3604852
9,10,Best Western Marquis de la Baume,https://www.booking.com/hotel/fr/ha-tel-la-baume.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=cb804ece0fde0166&srepoch=1643973150&from=searchresults#hotelTmpl,"7,9","Situé dans le centre de la ville historique de Nîmes, le Best Western Marquis de la Baume occupe une maison de ville du XVIIe siècle, à seulement 3,7 km du parc des expositions de Nîmes et à 650...","21, rue Nationale, 30000 Nîmes, France",Nimes,43.8395921,4.3611166
