,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Westside Arc de Triomphe Hotel,https://www.booking.com/hotel/fr/westside-arc-de-triomphe.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b928512f443c0162&srepoch=1643974368&from=searchresults#hotelTmpl,"8,0","Doté d’un bar-salon, le Westside Arc de Triomphe Hotel propose des hébergements dans une petite rue de l’élégant 17ème arrondissement de Paris, à 12 minutes de marche de l’Arc de Triomphe et de la...","36 rue Pierre Demours, 17e arr., 75017 Paris, France",Paris,48.8812707,2.2947419
1,2,Le Pigalle Hotel,https://www.booking.com/hotel/fr/le-pigalle-paris2.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b928512f443c0162&srepoch=1643974368&from=searchresults#hotelTmpl,"8,7","L'établissement Le Pigalle Hôtel est situé dans le 9ème arrondissement de Paris, à seulement 5 minutes à pied du Moulin Rouge. ","9 rue frochot, 9e arr., 75009 Paris, France",Paris,48.8810319,2.3376852
2,3,Room Mate Alain - Champs-Elysées,https://www.booking.com/hotel/fr/d-argentine.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b928512f443c0162&srepoch=1643974368&from=searchresults#hotelTmpl,"8,5","Situé à 7 minutes de marche de l’avenue des Champs-Élysées, le boutique hôtel Room Mate Alain - Champs-Elysées occupe une maison de ville parisienne. ","1/3 Rue d'Argentine, 16e arr., 75116 Paris, France",Paris,48.8742463,2.2897496
3,4,Le Grey Hotel,https://www.booking.com/hotel/fr/grey.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b928512f443c0162&srepoch=1643974368&from=searchresults#hotelTmpl,"9,0","Situé à mi-chemin entre l'opéra Garnier et le quartier Montmartre, le Grey Hôtel est un boutique hôtel proposant des chambres élégantes avec une connexion Wi-Fi gratuite et une télévision à écran LCD....","12 rue de Parme, 9e arr., 75009 Paris, France",Paris,48.8813288,2.327428
4,5,Hotel Elysees Opera,https://www.booking.com/hotel/fr/america.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b928512f443c0162&srepoch=1643974368&from=searchresults#hotelTmpl,"8,3","Situé dans le très chic 8ème arrondissement de Paris, cet hôtel propose des chambres modernes dotées d’un balcon. ","17, rue de Turin, 8e arr., 75008 Paris, France",Paris,48.87754635,2.324606814397998
5,6,Hotel Petit Lafayette,https://www.booking.com/hotel/fr/holiday-villa-lafayette-paris.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b928512f443c0162&srepoch=1643974368&from=searchresults#hotelTmpl,"8,8","L'Hotel Petit Lafayette est situé au cœur de Paris, entre le boulevard Montmartre et la rue Lafayette, près de la station de métro Cadet. Il vous propose des hébergements modernes. ","46, Rue De Trévise, 9e arr., 75009 Paris, France",Paris,48.8320019,2.3888716
6,7,Hotel West-End,https://www.booking.com/hotel/fr/hotelwestend.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b928512f443c0162&srepoch=1643974368&from=searchresults#hotelTmpl,"8,8","Cet hôtel de caractère de luxe se situe en plein cœur de Paris, près de l’Avenue des Champs-Elysées. Il présente une décoration élégante et un mobilier unique. ","7 rue Clément Marot, 8e arr., 75008 Paris, France",Paris,48.8671535,2.3038748
7,8,Hôtel Aiglon,https://www.booking.com/hotel/fr/aiglon.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b928512f443c0162&srepoch=1643974368&from=searchresults#hotelTmpl,"8,8","Situé au cœur du quartier de Montparnasse, cet hôtel design est à seulement 30 mètres de la station de métro Raspail. Les chambres sont modernes et élégantes avec connexion Wi-Fi gratuite. ","232 Boulevard Raspail, 14e arr., 75014 Paris, France",Paris,48.8395777,2.3302123
8,9,Grand Hôtel Amelot,https://www.booking.com/hotel/fr/grand-amelot-paris4.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b928512f443c0162&srepoch=1643974368&from=searchresults#hotelTmpl,"8,1","Situé dans le 11ème arrondissement de Paris, à 5 minutes à pied du quartier du Marais et de la Place des Vosges, le Grand Hôtel Amelot propose une réception ouverte 24h/24, une bagagerie et un service...","54 rue Amelot, 11e arr., 75011 Paris, France",Paris,48.8592471,2.3683461
9,10,Pullman Paris Tour Eiffel,https://www.booking.com/hotel/fr/tour-eiffel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b928512f443c0162&srepoch=1643974368&from=searchresults#hotelTmpl,"8,3","L’hôtel 4 étoiles Pullman Paris Tour Eiffel est situé au pied de la Tour Eiffel et du Trocadéro. Ouverte 24h/24, la salle de sport est équipée d'appareils de cardio-training. ","18 Avenue De Suffren, Entrée au 22 rue Jean Rey, 15e arr., 75015 Paris, France",Paris,48.8528028,2.2983662
10,11,Austin's Arts Et Metiers Hotel,https://www.booking.com/hotel/fr/austin-s-arts-et-metiers.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=b928512f443c0162&srepoch=1643974368&from=searchresults#hotelTmpl,"8,4","L’Austin’s Hotel est situé dans le quartier du Marais, dans le centre de Paris, à 500 mètres de la place de la République et à 600 mètres du centre Pompidou. ","6 Rue Montgolfier, 3e arr., 75003 Paris, France",Paris,48.8659462,2.3570719
11,12,HotelHome Paris 16,https://www.booking.com/hotel/fr/residencejasmin.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=b928512f443c0162&srepoch=1643974368&from=searchresults#hotelTmpl,"8,6","L'HotelHome Paris 16 est situé dans le XVIème arrondissement de Paris, à 1,5 km du Bois de Boulogne. Il propose des appartements climatisés dotés d'une connexion Wi-Fi gratuite. ","36, rue George Sand, 16e arr., 75016 Paris, France",Paris,48.893663849999996,2.3082349136894127
