,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,"Radisson Blu Hotel, Rouen Centre",https://www.booking.com/hotel/fr/radisson-blu-rouen-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=65825206c6840043&srepoch=1643974798&from=searchresults#hotelTmpl,"8,9","Situé à Rouen, le Radisson Blu Hotel, Rouen Centre dispose d'un restaurant servant des plats locaux de haute qualité, d'une salle de sport, d'un bar et d'un salon commun. ","6-8 Rue du Donjon, 76000 Rouen, France",Rouen,49.4464405,1.0941197
1,2,L'Autel - Jaccuzi - Centre d'historique,https://www.booking.com/hotel/fr/l-39-autel-rouen.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=65825206c6840043&srepoch=1643974798&from=searchresults#hotelTmpl,"9,0","Situé à Rouen, à 500 mètres de la cathédrale Notre-Dame, l'établissement L'Autel - Jaccuzi - Centre d'histoire dispose d'un salon avec une télévision à écran plat et d'une connexion Wi-Fi gratuite. ","13 rue Dinanderie, 76000 Rouen, France",Rouen,49.4444559,1.0911609
2,3,"Hôtel de Bourgtheroulde, Autograph Collection",https://www.booking.com/hotel/fr/de-bourgtheroulde.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=65825206c6840043&srepoch=1643974798&from=searchresults#hotelTmpl,"8,6","Ce boutique hôtel vous accueille dans le centre historique de Rouen, à côté du Gros-Horloge et à 2 km de la salle omnisports Kindarena. ","15 Place De La Pucelle, 76000 Rouen, France",Rouen,49.4420976,1.0882736098785037
3,4,"Holiday Inn Express - Rouen Centre - Rive Gauche, an IHG Hotel",https://www.booking.com/hotel/fr/holiday-inn-express-rouen-centre-rive-gauche.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=65825206c6840043&srepoch=1643974798&from=searchresults#hotelTmpl,"8,5","Installé à Rouen, à 3,1 km de la cathédrale Notre-Dame, le Holiday Inn Express - Rouen Centre - Rive Gauche, an IHG Hotel comprend des hébergements, un restaurant, un parking privé, un bar et un salon...","103 Avenue Jean Rondeaux, 76100 Rouen, France",Rouen,49.4298785,1.0727417
4,5,Maison hypercentre Rouen tout confort,https://www.booking.com/hotel/fr/maison-hypercentre-rouen-tout-confort.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=65825206c6840043&srepoch=1643974798&from=searchresults#hotelTmpl,"8,7","Située dans le centre de Rouen, à seulement 700 mètres de la cathédrale Notre-Dame, la Maison hypercentre Rouen tout confort offre une vue sur la ville et propose une connexion Wi-Fi gratuite. ","20 Rue Dinanderie, 76000 Rouen, France",Rouen,49.4446536,1.091312
5,6,Best Western Plus Hotel Litteraire Gustave Flaubert,https://www.booking.com/hotel/fr/hotellitterairegustaveflaubert.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=65825206c6840043&srepoch=1643974798&from=searchresults#hotelTmpl,"8,6","Situé dans le centre historique de Rouen, à 3 km du Kindarena, le Best Western Plus Hotel Litteraire Gustave Flaubert propose des hébergements à la décoration inspirée par l’œuvre littéraire de...","33 rue du Vieux Palais / 15 rue de la Pie, 76000 Rouen, France",Rouen,49.430388414523186,1.0867557600061297
6,7,Ibis Styles Rouen Centre Cathédrale,https://www.booking.com/hotel/fr/ibis-styles-rouen-centre-cathedrale.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=65825206c6840043&srepoch=1643974798&from=searchresults#hotelTmpl,"7,4","Doté d'une connexion Wi-Fi gratuite et d'une terrasse, l'Ibis Styles Rouen Centre Cathédrale propose des hébergements à Rouen, à 1,6 km de la gare de la ville ainsi qu'à 3 km du palais des sports du...","9 Place De La Republique, 76000 Rouen, France",Rouen,49.4374261,1.0963828
7,8,Mercure Rouen Centre Cathédrale,https://www.booking.com/hotel/fr/mercure-rouen-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=65825206c6840043&srepoch=1643974798&from=searchresults#hotelTmpl,"8,2","Le Mercure Rouen Centre Cathédrale propose des chambres climatisées dotées d'une télévision par satellite, d'une connexion Wi-Fi gratuite et d'une salle de bains privative dans le centre de Rouen, à...","7 Rue Croix de Fer, 76000 Rouen, France",Rouen,49.430388414523186,1.0867557600061297
8,9,Kyriad Direct Rouen Centre Gare,https://www.booking.com/hotel/fr/hotelleviking.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=65825206c6840043&srepoch=1643974798&from=searchresults#hotelTmpl,"7,1","Situé au cœur de Rouen, cet hôtel propose une connexion Wi-Fi payante. Doté d’une terrasse offrant une vue dégagée sur la Seine, cet hôtel se trouve à 1,2 km de la cathédrale de Rouen. ","21 Quai Du Havre, 76000 Rouen, France",Rouen,49.4395998,1.0873007
9,10,Les Initiés,https://www.booking.com/hotel/fr/les-inities-rouen.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=65825206c6840043&srepoch=1643974798&from=searchresults#hotelTmpl,"8,3","Installé au cœur du centre historique de Rouen, l'établissement Les Initiés est situé à seulement 10 minutes à pied de la gare de Rouen-Rive-Droite et à 3 km du stade Kindarena. ","45 Rue Aux Juifs, 76000 Rouen, France",Rouen,49.4419483,1.0923908
