,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Logis Le Nid du Pont de Gau,https://www.booking.com/hotel/fr/l-39-hostellerie-du-pont-de-gau.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=bb7a4c0c662a0052&srepoch=1643971738&from=searchresults#hotelTmpl,"8,6","Dans ce cadre naturel préservé de la Camargue, Le Nid du Pont de Gau vous réserve un accueil chaleureux dans son hébergement confortable. ","Route d'Arles- RD 570, 13460 Les Saintes-Maries-de-la-Mer, France",Saintes Maries de la mer,43.48141065,4.535882859831634
1,2,Mas De Calabrun,https://www.booking.com/hotel/fr/mas-de-calabrun.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=bb7a4c0c662a0052&srepoch=1643971738&from=searchresults#hotelTmpl,"8,6","Doté d’une piscine extérieure, d’un terrain de pétanque et d’une table de ping-pong, l’hôtel Mas De Calabrun est installé sur un domaine privé à Saintes-Maries-de-la-Mer, dans le Parc naturel régional...","Route De Cacharel D 85A, 13460 Les Saintes-Maries-de-la-Mer, France",Saintes Maries de la mer,43.48141065,4.535882859831634
2,3,Hôtel Casa Marina,https://www.booking.com/hotel/fr/casa-marina-saintes-maries-de-la-mer.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=bb7a4c0c662a0052&srepoch=1643971738&from=searchresults#hotelTmpl,"9,0","Situé aux Saintes-Maries-de-la-Mer, l'Hôtel Casa Marina propose un hébergement en bord de mer, à quelques pas de la plage d'Amphora. Il possède un restaurant, un bar et un jardin. ","1 Avenue Gilbert Leroy, 13460 Les Saintes-Maries-de-la-Mer, France",Saintes Maries de la mer,43.48141065,4.535882859831634
3,4,Thalacap Camargue,https://www.booking.com/hotel/fr/thalacap-camargue.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=bb7a4c0c662a0052&srepoch=1643971738&from=searchresults#hotelTmpl,"7,7","Le Thalacap Camargue est situé en face de la plage des Saintes-Maries-de-la-Mer, à 5 minutes de marche du centre-ville. "," Avenue du Dr Cambon, 13460 Les Saintes-Maries-de-la-Mer, France",Saintes Maries de la mer,43.48141065,4.535882859831634
4,5,Gîtes Equestres Lou Caloun - Les Saintes Maries de la Mer,https://www.booking.com/hotel/fr/gites-equestres-les-cabanes-de-cambon-saintes-maries-de-la-mer.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=bb7a4c0c662a0052&srepoch=1643971738&from=searchresults#hotelTmpl,"9,1","Doté d'une piscine extérieure chauffée, le Gîtes Equestres Lou Caloun - Les Saintes Maries de la Mer est situé à Saintes-Maries-de-la-Mer. ","Chemin de Cambon - Les Cabanes de Cambon, 13460 Les Saintes-Maries-de-la-Mer, France",Saintes Maries de la mer,43.48141065,4.535882859831634
5,6,Hotel Les Palmiers En Camargue,https://www.booking.com/hotel/fr/les-palmiers-en-camargue.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=bb7a4c0c662a0052&srepoch=1643971738&from=searchresults#hotelTmpl,"8,1","Doté d'une connexion Wi-Fi gratuite, l'Hotel Les Palmiers En Camargue est situé à Saintes-Maries-de-la-Mer, à 100 mètres des plages de sable et à 200 mètres de l'église des Saintes-Maries. ","16 Rue Alphonse Daudet, 13460 Les Saintes-Maries-de-la-Mer, France",Saintes Maries de la mer,43.48141065,4.535882859831634
6,7,La Tramontane,https://www.booking.com/hotel/fr/la-tramontane.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=bb7a4c0c662a0052&srepoch=1643971738&from=searchresults#hotelTmpl,"9,1","L'établissement La Tramontane vous accueille aux Saintes-Maries-de-la-Mer, au cœur de la Camargue. ","94 Chemin Bas de Dromar, 13460 Les Saintes-Maries-de-la-Mer, France",Saintes Maries de la mer,43.48141065,4.535882859831634
7,8,Le Dauphin Bleu,https://www.booking.com/hotel/fr/le-dauphin-bleu.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=bb7a4c0c662a0052&srepoch=1643971738&from=searchresults#hotelTmpl,"8,6","Situé à 50 mètres de la plage, face à la mer Méditerranée, Le Dauphin Bleu est situé à 400 mètres du centre de la vieille ville historique des Saintes-Maries-de-la-Mer. ","31 Avenue Gilbert Leroy, 13460 Les Saintes-Maries-de-la-Mer, France",Saintes Maries de la mer,43.48141065,4.535882859831634
8,9,Le Castelet,https://www.booking.com/hotel/fr/le-castelet-les-saintes-maries-de-la-mer.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=bb7a4c0c662a0052&srepoch=1643971738&from=searchresults#hotelTmpl,"7,4","Cet hôtel est situé à Saintes-Maries-de-la-Mer, à 60 mètres seulement de la mer Méditerranée et à 30 mètres de l'Étang des Launes. Il dispose d'un bar à cocktails avec une terrasse fleurie. ","10 Rue Des Launes, 13460 Les Saintes-Maries-de-la-Mer, France",Saintes Maries de la mer,43.48141065,4.535882859831634
9,10,Mas des Cabidoules,https://www.booking.com/hotel/fr/mas-des-cabidoules.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=bb7a4c0c662a0052&srepoch=1643971738&from=searchresults#hotelTmpl,"9,7","Le Mas des Cabidoules est situé aux Saintes-Maries-de-la-Mer, à 1,9 km de l'église des Saintes Maries. Offrant des vues sur le lac, cette chambre d'hôtes est dotée d'une piscine extérieure. ","269 chemin bas des launes mas des cabidoules, 13460 Les Saintes-Maries-de-la-Mer, France",Saintes Maries de la mer,43.48141065,4.535882859831634
