,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Escale Oceania Saint Malo,https://www.booking.com/hotel/fr/mascottesaintmalo.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=bb9e50de819a01c2&srepoch=1643974205&from=searchresults#hotelTmpl,"8,2","L'Escale Oceania Saint Malo se trouve sur le front de mer, en face de la plage du Sillon, à 14 minutes de marche de la gare de Saint-Malo. ","76 Chaussée du Sillon, Sillon, 35400 Saint-Malo, France",St Malo,48.6541426,-2.008697727859329
1,2,Hotel De L'univers,https://www.booking.com/hotel/fr/de-l-univers.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=bb9e50de819a01c2&srepoch=1643974205&from=searchresults#hotelTmpl,"8,1","L'Hotel De L'univers est installé dans la ville fortifiée de Saint-Malo, en Bretagne, à quelques pas du port ferry et de la gare. ","12 Place Chateaubriand, Intra muros, 35400 Saint-Malo, France",St Malo,48.6512513,-2.0238242
2,3,Oceania Saint Malo,https://www.booking.com/hotel/fr/oceaniasaintmalo.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=bb9e50de819a01c2&srepoch=1643974205&from=searchresults#hotelTmpl,"8,4","Donnant sur la mer, l'Oceania Saint Malo se situe sur la Chaussée du Sillon, en face de la plage du même nom et à 450 mètres du port de plaisance de Saint-Malo. ","Chaussée du sillon, Sillon, 35400 Saint-Malo, France",St Malo,48.6548172,-2.0072132
3,4,Hôtel de France et Chateaubriand,https://www.booking.com/hotel/fr/de-france-et-chateaubriand.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=bb9e50de819a01c2&srepoch=1643974205&from=searchresults#hotelTmpl,"7,9","Situé au cœur de la ville historique de Saint-Malo, l’Hôtel de France et Chateaubriand offre une vue imprenable sur la mer et le sillon, à 210 mètres du port de plaisance de Saint-Malo. ","Place Chateaubriand Bp 77, Intra muros, 35400 Saint-Malo, France",St Malo,48.657090755505465,-1.9895390959047399
4,5,Hôtel Cartier,https://www.booking.com/hotel/fr/cartier.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=bb9e50de819a01c2&srepoch=1643974205&from=searchresults#hotelTmpl,"7,4","Situé au sein des murs fortifiés de Saint-Malo, l'Hôtel Cartier vous accueille à seulement 280 mètres du port de plaisance ainsi qu'à 500 mètres de la plage et de la Manche. ","1, Rue de la Corne de Cerf, Intra muros, 35400 Saint-Malo, France",St Malo,48.6501248,-2.0247763
5,6,"The Originals Boutique, Hôtel des Marins, Saint-Malo (Inter-Hotel)",https://www.booking.com/hotel/fr/dulouvresaintmalo.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=bb9e50de819a01c2&srepoch=1643974205&from=searchresults#hotelTmpl,"8,6","Situé au cœur de la ville fortifiée de Saint-Malo, l'établissement The Originals Boutique, Hôtel des Marins, Saint-Malo (Inter-Hotel) propose des chambres modernes avec une télévision à écran plat et...","2, Rue des Marins, Intra muros, 35400 Saint-Malo, France",St Malo,48.6488754,-2.0248533
6,7,ibis Styles Saint Malo Port,https://www.booking.com/hotel/fr/ibis-styles-saint-malo-port.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=bb9e50de819a01c2&srepoch=1643974205&from=searchresults#hotelTmpl,"8,0","Doté d'un snack-bar et d'une connexion Wi-Fi gratuite, l'établissement ibis Styles Saint Malo Port est situé à Saint-Malo, à moins de 10 minutes à pied des plages de sable, à 1 km de la gare ainsi...","6-8 Quai du Val, 35400 Saint-Malo, France",St Malo,48.6397068,-2.011455
7,8,Hotel Ajoncs d'Or,https://www.booking.com/hotel/fr/ajoncsdor.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=bb9e50de819a01c2&srepoch=1643974205&from=searchresults#hotelTmpl,"8,6","L'hôtel Ajoncs d'Or se situe au cœur des remparts historiques de la ville fortifiée de Saint-Malo, à 350 mètres du port de plaisance de la ville. Vous bénéficierez gratuitement d'une connexion Wi-Fi. ","10 rue des Forgeurs, Intra muros, 35400 Saint-Malo, France",St Malo,48.6474678,-2.0252029
8,9,La Maison des Armateurs,https://www.booking.com/hotel/fr/la-maison-des-armateurs.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=bb9e50de819a01c2&srepoch=1643974205&from=searchresults#hotelTmpl,"8,8","Situé dans le centre historique de Saint-Malo, l’établissement La Maison des Armateurs vous accueille à 5 minutes à pied de la cathédrale et à 120 mètres du port de plaisance. ","6, Grand Rue, Intra muros, 35400 Saint-Malo, France",St Malo,48.6489607,-2.0236067
9,10,Grand Hôtel Des Thermes,https://www.booking.com/hotel/fr/desthermessaintmalo.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=bb9e50de819a01c2&srepoch=1643974205&from=searchresults#hotelTmpl,"8,0","Situé en bord de mer, le Grand Hôtel Des Thermes est un établissement de style Belle Époque doté d'un spa et d'une piscine intérieure. ","100 bd hebert, Sillon, 35400 Saint-Malo, France",St Malo,48.6578564,-1.9996225
