,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Hôtel LÉONOR the place to live,https://www.booking.com/hotel/fr/leonor-the-place-to-live.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"9,0","Situé à Strasbourg, à 200 mètres du marché de Noël, l'Hôtel LÉONOR the place to live dispose d'un bar et offre une vue sur la ville. ","11 Rue de la Nuée-Bleue, 67000 Strasbourg, France",Strasbourg,48.5859287,7.7472308
1,2,Best Western Plus Monopole Métropole,https://www.booking.com/hotel/fr/monopolemetropole.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"8,7","Le Best Western Monopole Métropole est situé à seulement 400 mètres de la gare de Strasbourg, près du quartier de la Petite France. ","16, rue Kuhn, 67000 Strasbourg, France",Strasbourg,48.5850356,7.7389645
2,3,Adagio Strasbourg Place Kleber,https://www.booking.com/hotel/fr/adagio-city-aparthotel-strasbourg-place-kleber.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"8,4",L'Adagio Strasbourg Place Kleber vous accueille au cœur du quartier historique de Strasbourg et à 700 mètres de la gare principale. ,"4 Rue De La Haute Montée, 67000 Strasbourg, France",Strasbourg,48.5842458,7.7456365
3,4,ibis Strasbourg Centre Gare,https://www.booking.com/hotel/fr/ibis-strasbourg-centre-gare.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"7,9","Situé en face de la gare, l'ibis Strasbourg Centre Gare possède une réception ouverte 24h/24, un bar, une connexion Wi-Fi gratuite dans l'ensemble de ses locaux ainsi que des hébergements climatisés...","10 place de la Gare, 67000 Strasbourg, France",Strasbourg,48.584455,7.7365257
4,5,Séjours & Affaires Strasbourg Kleber,https://www.booking.com/hotel/fr/residhome-strasbourg-kleber.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"8,0","Cette résidence propose un hébergement individuel confortable. Elle se trouve dans une rue calme du centre-ville, à 5 minutes à pied du quartier historique de la Petite France et de la cathédrale de...","16 Rue Hannong, 67000 Strasbourg, France",Strasbourg,48.5832665,7.7428271
5,6,"Holiday Inn Express Strasbourg Centre, an IHG Hotel",https://www.booking.com/hotel/fr/holiday-inn-express-strasbourg-centre.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"8,2",Le Holiday Inn Express Strasbourg Centre propose des hébergements à seulement 10 minutes de marche du quartier piéton de Strasbourg. ,"Rue de la Corderie, 67000 Strasbourg, France",Strasbourg,48.572237,7.7499584
6,7,Hotel Beaucour,https://www.booking.com/hotel/fr/beaucour.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"8,6","Construit autour d'une cour fleurie et doté d'un salon commun orné d'une cheminée, l'hôtel Beaucour propose des hébergements dans le centre de Strasbourg, à seulement 400 mètres de la cathédrale de la...","5 rue des Bouchers, 67000 Strasbourg, France",Strasbourg,48.5786602,7.751427
7,8,HANNONG Hotel & Wine Bar,https://www.booking.com/hotel/fr/tihannong.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"8,8","L'Hôtel Hannong est situé au cœur de Strasbourg, à seulement 5 minutes de marche de la gare TGV, de la cathédrale et du quartier de la Petite France. ","15, rue du 22 Novembre, 67000 Strasbourg, France",Strasbourg,48.5828444,7.7431081
8,9,Pax Hôtel,https://www.booking.com/hotel/fr/hotelrestaurantpax.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"7,5","Le Citotel Hotel Pax, un établissement à la gestion familiale, vous accueille à 400 mètres de la gare TGV de Strasbourg et de la station de tramway. Vous séjournerez à 600 mètres du centre-ville. ","24 rue du Faubourg National, 67000 Strasbourg, France",Strasbourg,48.5825035,7.7369842
9,10,Citadines Eurometropole Strasbourg,https://www.booking.com/hotel/fr/citadines-eurometropole-strasbourg.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"8,5","Situé à Strasbourg, à 3,7 km de la Petite France, le Citadines Eurometropole Strasbourg dispose d'un restaurant ainsi que d'un centre de spa et de bien-être avec une piscine intérieure, une salle de...","11 Allée de l’Euro, 67205 Strasbourg, France",Strasbourg,48.6032396,7.7038519
