,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,"Crowne Plaza Toulouse, an IHG Hotel",https://www.booking.com/hotel/fr/crowne-plaza-toulouse-toulouse.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1f8e50321eac01a4&srepoch=1643973862&from=searchresults#hotelTmpl,"8,1","L’hôtel 4 étoiles Crowne Plaza Toulouse vous accueille dans le centre-ville de Toulouse, à 80 mètres du théâtre du Capitole. ","7 Place du Capitole, 31000 Toulouse, France",Toulouse,43.60439865,1.443351576181684
1,2,Residhome Toulouse Ponts Jumeaux,https://www.booking.com/hotel/fr/residhome-toulouse-ponts-jumeaux.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=1f8e50321eac01a4&srepoch=1643973862&from=searchresults#hotelTmpl,"9,0","Le Residhome Toulouse Ponts Jumeaux se trouve à Toulouse, dans le quartier des Minimes-Barrière de Paris, à 3,6 km du Zénith et à 3,7 km du parc des expositions Toulouse Expo. ","105 Boulevard de l'Embouchure, 31200 Toulouse, France",Toulouse,43.6113186,1.4185526
2,3,Néméa Appart'hotel Toulouse Saint-Martin,https://www.booking.com/hotel/fr/na-c-ma-c-a-appart-toulouse-saint-martin-toulouse.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=1f8e50321eac01a4&srepoch=1643973862&from=searchresults#hotelTmpl,"7,2",Le Néméa Appart’hotel Toulouse Saint-Martin vous accueille à 5 minutes en voiture de l’aéroport de Toulouse-Blagnac et à 15 minutes de route du Stadium municipal de Toulouse. ,"4 Rue Alain Fournier - St Martin du Touch, 31300 Toulouse, France",Toulouse,43.607713,1.3714694674299157
3,4,Le Grand Balcon Hotel,https://www.booking.com/hotel/fr/le-grand-balcon-toulouse.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=1f8e50321eac01a4&srepoch=1643973862&from=searchresults#hotelTmpl,"8,7","Situé dans le centre de Toulouse, à 4 km du Stadium, Le Grand Balcon Hotel est un établissement 4 étoiles doté d'une décoration des années 1930 et d'une réception ouverte 24h/24. ","8-10 Rue Romiguieres, 31000 Toulouse, France",Toulouse,43.6048211,1.442671
4,5,Lagrange Aparthotel Toulouse Saint-Michel,https://www.booking.com/hotel/fr/privila-ge-appart-guillaumet.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=1f8e50321eac01a4&srepoch=1643973862&from=searchresults#hotelTmpl,"8,1","Le Lagrange Aparthotel Toulouse Saint-Michel est situé à seulement 160 mètres de la station de métro Saint-Michel, à 10 minutes à pied du musée d'histoire naturelle et à 1,5 km du stade de Toulouse. ","36 Grande Rue Saint Michel, 31400 Toulouse, France",Toulouse,43.5875304,1.4467451
5,6,Campanile Toulouse Balma - Cité de l'Espace,https://www.booking.com/hotel/fr/campaniletoulousecitedelespace.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=1f8e50321eac01a4&srepoch=1643973862&from=searchresults#hotelTmpl,"8,3","Le Campanile Toulouse Balma - Cité de l’Espace est situé à proximité de la Cité de l’espace, à 9 km à l’est du centre-ville de Toulouse et 9 km du Stadium de la ville. ","Rue Maurice Hurel, 31500 Toulouse, France",Toulouse,43.5842597,1.4928579
6,7,Royal Wilson,https://www.booking.com/hotel/fr/royal-wilson.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1f8e50321eac01a4&srepoch=1643973862&from=searchresults#hotelTmpl,"7,9","Le Royal Wilson propose des chambres climatisées au cœur de Toulouse, à 140 mètres de la place Wilson et à 3,5 km du Stadium de Toulouse. La réception est ouverte 24h/24. ","6 rue Labéda, 31000 Toulouse, France",Toulouse,43.6044713,1.449218
7,8,ibis Styles Toulouse Centre Gare,https://www.booking.com/hotel/fr/terminus-toulouse.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=1f8e50321eac01a4&srepoch=1643973862&from=searchresults#hotelTmpl,"7,9","Installé dans un bâtiment datant du XIXe siècle, l'ibis Styles Toulouse Centre Gare se trouve au cœur de Toulouse, en face de la gare SNCF de Toulouse-Matabiau et de l'arrêt de la navette aéroport. ","Boulevard Bonrepos, 31000 Toulouse, France",Toulouse,43.6129181,1.4514808
8,9,Residhome Toulouse Occitania,https://www.booking.com/hotel/fr/residhome-toulouse-occitania.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1f8e50321eac01a4&srepoch=1643973862&from=searchresults#hotelTmpl,"8,6","Doté d’une piscine extérieure, le Residhome Toulouse Occitania propose des hébergements à moins de 100 mètres de l’arrêt de tramway Hippodrome, d’où vous pourrez rejoindre le centre-ville de Toulouse...","93 Avenue De Lombez, 31300 Toulouse, France",Toulouse,43.5939671,1.4103599
9,10,Ibis Styles Toulouse Centre Canal du Midi,https://www.booking.com/hotel/fr/kyriad-toulouse.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=1f8e50321eac01a4&srepoch=1643973862&from=searchresults#hotelTmpl,"7,3","L'Ibis Styles Toulouse Centre Canal du Midi est situé dans le centre de Toulouse, au bord du canal du Midi, à côté de la salle de concert Halle aux Grains, à seulement 1 km de la place du Capitole et...","5 boulevard de la gare, 31500 Toulouse, France",Toulouse,43.6016475,1.4571056
