,rank,name,link,rate,description,adress,city,latitude,longitude
0,1,Boutique Hôtel Entraigues,https://www.booking.com/hotel/fr/entraigues-uzes2.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=cad44eb3e2240129&srepoch=1643973096&from=searchresults#hotelTmpl,"8,9","Doté d’une piscine extérieure, le Boutique Hôtel Entraigues vous accueille à Uzès, dans le Languedoc-Roussillon, à 32 km d’Avignon. Il possède une terrasse bien exposée et offre une vue sur la ville. ","4 place de l'Evêché, Rue de la Calade, 30700 Uzès, France",Uzes,44.0124484,4.4219198
1,2,UZES APPART HOTEL Résidence Le Mas des Oliviers,https://www.booking.com/hotel/fr/le-mas-des-oliviers-ulv.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=cad44eb3e2240129&srepoch=1643973096&from=searchresults#hotelTmpl,"7,7","Décoré dans un style provençal, l'UZES APPART HOTEL Résidence Le Mas des Oliviers est situé à 500 mètres du centre d'Uzès et à 1 km de la cathédrale de la ville. ","1 rue des Cèdres, 30700 Uzès, France",Uzes,44.0119328,4.4131826
2,3,Mas d orient,https://www.booking.com/hotel/fr/mas-d-orient-uzes.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=cad44eb3e2240129&srepoch=1643973096&from=searchresults#hotelTmpl,"9,8","Situé à Uzès, le Mas d orient propose un bar et un salon commun. Doté d’une connexion Wi-Fi gratuite et d’un parking privé sur place, cet établissement climatisé se situe à 42 km de Vallon-Pont d'Arc....","Chemin du pas du loup 365, 30700 Uzès, France",Uzes,44.0179763,4.4110623
3,4,MAISON 2 APPTS et 1 CHAMBRE - CONCIERGERIE DE L'UZEGE,https://www.booking.com/hotel/fr/intendance-maison-conciergerie-de-l-39-uzege.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=cad44eb3e2240129&srepoch=1643973096&from=searchresults#hotelTmpl,"9,0","Située à Uzès, en Languedoc-Roussillon, la MAISON 2 APPTS et L'établissement 1 CHAMBRE - CONCIERGERIE DE L'UZEGE propose des hébergements avec connexion Wi-Fi gratuite. ","4, Rue grande Bourgade, 30700 Uzès, France",Uzes,44.0101825,4.4168922
4,5,Les Terrasses,https://www.booking.com/hotel/fr/terrasses-uzes.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=cad44eb3e2240129&srepoch=1643973096&from=searchresults#hotelTmpl,"9,7","Situé à Uzès, à 43 km de Vallon-Pont-d'Arc, la chambre d’hôtes Les Terrasses dispose d'une piscine extérieure et d'une connexion Wi-Fi gratuite. ","2 rue Saint-Théodorit, 30700 Uzès, France",Uzes,44.0115713,4.4215277
5,6,La Villa Léa,https://www.booking.com/hotel/fr/la-villa-lea.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=cad44eb3e2240129&srepoch=1643973096&from=searchresults#hotelTmpl,"9,2","Dotée d’une piscine extérieure et d’une terrasse bien exposée, La Villa Léa propose des hébergements à Uzès, en Occitanie. Elle possède également un parc aquatique et un bar-restaurant. ","10,rue léa Jonquet, 30700 Uzès, France",Uzes,44.0144957,4.4113705
6,7,Le mas des Lilas,https://www.booking.com/hotel/fr/le-mas-des-lilas-uzes.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=cad44eb3e2240129&srepoch=1643973096&from=searchresults#hotelTmpl,"8,3","Situé à Uzès, à 49 km d'Orange, Le mas des Lilas propose une piscine extérieure et une connexion Wi-Fi gratuite. ","Impasse de la Lavande, 30700 Uzès, France",Uzes,43.997196,4.4257916
7,8,Logis Uzès Pont du Gard,https://www.booking.com/hotel/fr/uzes.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=cad44eb3e2240129&srepoch=1643973096&from=searchresults#hotelTmpl,"7,9",Le Logis Uzès Pont du Gard propose des chambres confortables et bien équipées à seulement 10 minutes de marche du centre. ,"2 Bis rue de l'Emmeraude, 30700 Uzès, France",Uzes,44.01936552776931,4.4215146254406585
8,9,Hostellerie Provençale,https://www.booking.com/hotel/fr/hostellerie-provencale.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=cad44eb3e2240129&srepoch=1643973096&from=searchresults#hotelTmpl,"8,7","En séjournant dans le centre d'Uzès, vous pourrez pleinement apprécier les charmes de cet hôtel typiquement provençal. L'Hostellerie Provençale et son personnel seront ravis de vous accueillir. ","1-3 Grande Bourgade, 30700 Uzès, France",Uzes,44.0101825,4.4168922
9,10,Le Portalet,https://www.booking.com/hotel/fr/le-portalet-uzes3.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=cad44eb3e2240129&srepoch=1643973096&from=searchresults#hotelTmpl,"9,0","Offrant une vue sur la ville, le Portalet est situé à Uzès, à 38 km d'Avignon et à 23 km de Nîmes. La kitchenette est équipée d'un micro-ondes, d'un réfrigérateur et de plaques de cuisson. ","31 Boulevard Victor Hugo, 30700 Uzès, France",Uzes,44.0107529,4.4199044
